text,date,vacancy,company,city,country,experience,employment,schedule,salary_from,salary_to,currency,skills,responsibilities,requirements,experience level,uid,position
"#dubai #fulltime #vacancy #businessanalyst #fintech #relocation #banking 

**Dubai-based opportunity for a Product-Oriented Business Analyst**

[STRONG te.am](https://strongte.am/) is hiring an experienced** Product-Oriented Business Analyst** to join a compact, senior product team building a new SME mobile banking app from scratch for one of the top banks in the UAE.

— Full relocation to Dubai 
— Fintech-focused: SME banking, onboarding, KYC, accounts, transfers, cards, payments
— 0→1 product with real business impact
— Senior product team with design-driven culture
— $5000–6000 USD net (considered individually depending on experience)

What we’re looking for:
— 5+ years as a Business (Full-stack) Analyst
— Strong experience in fintech (SME/B2B preferred, B2C acceptable)
— Deep understanding of banking flows: onboarding, KYC, accounts, cards, transfers, invoicing
— Strong documentation skills (BRD, FSD, user stories)
— Confident English (B2+) — daily communication with the client
— Ready to relocate and work on-site in Dubai

[📌 Full job description](https://strongteam.notion.site/Product-Oriented-Business-Analyst-168c32e14ba9800fbe1bd34c35a1526e?source=copy_link)

Send CV via TG: @akhzuldyz",2025-08-08T11:41:47+00:00,Product-Oriented Business Analyst,STRONG te.am,Dubai,UAE,5+ years,fulltime,,5000.0,6000.0,USD,"['Business Analyst', 'Fintech', 'SME banking', 'Onboarding', 'KYC', 'Accounts', 'Transfers', 'Cards', 'Payments', 'Documentation (BRD, FSD, user stories)', 'English (B2+)']",,"['5+ years as a Business (Full-stack) Analyst', 'Strong experience in fintech (SME/B2B preferred, B2C acceptable)', 'Deep understanding of banking flows: onboarding, KYC, accounts, cards, transfers, invoicing', 'Strong documentation skills (BRD, FSD, user stories)', 'Confident English (B2+) — daily communication with the client', 'Ready to relocate and work on-site in Dubai']",Senior,2025-08-08T11:41:47+00:00_1,
"**#удаленно**** ****#рф**** ****#аутстафф****

Аутстафф компания Новэлект в поисках


Системный аналитик/Senior **

**Мосбиржа, проект:** Аламеда: КД НРД. Аламеда
**Формат:** удаленно, РФ, +-2 часа по мск времени
ЗП: отталкиваемся от ожиданий кандидата 

**Основные задачи:**
✔️Сбор, анализ и уточнение бизнес-требований от заказчика и владельцев продукта.
✔️Разработка и описание функциональных и нефункциональных требований.
✔️Поддержка и актуализация документации по проекту.
✔️Проектирование архитектуры и функциональности сервисов в соответствии с требованиями.
✔️Составление технических заданий для разработки.

**Взаимодействие с командой разработки:**
✅Постановка задач разработчикам и контроль их выполнения.
✅Участие в обсуждениях архитектурных решений и технических вопросов.

**Обучение и поддержка пользователей:**
✅Обучение пользователей и подготовка обучающих материалов.
✅Поддержка пользователей и решение возникающих вопросов

**Требования:**
✅Опыт работы системным аналитиком от 4-х лет.
✅Навыки сбора и формализации требований (User Story, Use Cases, BPMN, UML).
✅Понимание принципов REST API, JSON/XML, интеграционных взаимодействий.
✅Знание SQL на уровне написания запросов средней сложности.
✅Опыт работы с Jira, Confluence, MS Visio/Miro.
Умение чётко и структурировано выражать мысли письменно и устно.
✅Высокая степень самостоятельности и ответственности за результат.
✅Хорошие коммуникативные навыки, готовность работать в Agile-команде.
✅Опыт работы с финансовыми продуктами (банки, биржи, депозитарии, платёжные системы).
✅Понимание специфики финтех-продуктов.
✅Знание форматов обмена финансовой информацией (например, ISO 20022).
✅Базовые знания архитектуры микросервисных приложений и интеграционных паттернов.


Пишите @JulyAsap",2025-08-08T09:29:17+00:00,Системный аналитик/Senior,Новэлект,,РФ,от 4-х лет,аутстафф,удаленно,,,,"['User Story', 'Use Cases', 'BPMN', 'UML', 'REST API', 'JSON/XML', 'SQL', 'Jira', 'Confluence', 'MS Visio/Miro', 'ISO 20022', 'микросервисные приложения', 'интеграционные паттерны']","['Сбор, анализ и уточнение бизнес-требований от заказчика и владельцев продукта.', 'Разработка и описание функциональных и нефункциональных требований.', 'Поддержка и актуализация документации по проекту.', 'Проектирование архитектуры и функциональности сервисов в соответствии с требованиями.', 'Составление технических заданий для разработки.', 'Постановка задач разработчикам и контроль их выполнения.', 'Участие в обсуждениях архитектурных решений и технических вопросов.', 'Обучение пользователей и подготовка обучающих материалов.', 'Поддержка пользователей и решение возникающих вопросов']","['Опыт работы системным аналитиком от 4-х лет.', 'Навыки сбора и формализации требований (User Story, Use Cases, BPMN, UML).', 'Понимание принципов REST API, JSON/XML, интеграционных взаимодействий.', 'Знание SQL на уровне написания запросов средней сложности.', 'Опыт работы с Jira, Confluence, MS Visio/Miro.', 'Умение чётко и структурировано выражать мысли письменно и устно.', 'Высокая степень самостоятельности и ответственности за результат.', 'Хорошие коммуникативные навыки, готовность работать в Agile-команде.', 'Опыт работы с финансовыми продуктами (банки, биржи, депозитарии, платёжные системы).', 'Понимание специфики финтех-продуктов.', 'Знание форматов обмена финансовой информацией (например, ISO 20022).', 'Базовые знания архитектуры микросервисных приложений и интеграционных паттернов.']",Senior,2025-08-08T09:29:17+00:00_2,
"Коллеги, добрый день. 
Меня зовут Игорь, рассмотрю предложения на позицию аналитика. 

🎓 Высшее техническое. 
📍 Москва. 
💼 Удалённо/гибрид. 
💻 Опыт работы: 
- 2,5 года методолог на ГИСе;
- 3,5 года аналитиком. 
🗃️ Проекты: Федеральное казначейство, Почта России, ГК Ростех, Сбер, РЖД. 
🛫 Готов к командировкам. 

Навыки и знания: 
✅  Сбор, верификация, анализ и описание требований заказчика;
✅ Отслеживание и контроль проблем и рисков по проекту, оценка их влияния на сроки и стоимость, внесения изменений в документы, подготовка и реализация действий, направленных на уменьшение вероятности их возникновения;
✅ Написание договорных ТЗ, дорожных карт, ТЗ, ЧТЗ, ПР, ПМИ, методик, инструкций и пр. 
✅ Проработка UX/UI;
✅ Проработка интеграции с внешними системами по предоставленным альбомом типовых форматов и/или XSD схемам;
✅ Согласование документов с заказчиком;
✅ Постановка задач разработчику, вендорам. 
✅ Тестирование функционала, регрессивное тестирование; 
✅ Проведение ПСИ;
✅ Разбор бэклога, сбор релизов; 
✅ Предоставление рекомендации госзаказчику (оператору гос.системы) по внесению изменений в нормативно-правовые акты РФ регламентирующие работу ГИСа. 

🛠️ Confluence, Jira, Redmine, 1С, Power BI, Luxms BI, Figma, Altova, Draw.io, MS office, SQL (MS, MY, PS) простые запросы.",2025-08-07T14:19:01+00:00,аналитик,,Москва,Россия,6 лет,удалённо/гибрид,,,,,"['Сбор, верификация, анализ и описание требований заказчика', 'Отслеживание и контроль проблем и рисков по проекту', 'Написание договорных ТЗ, дорожных карт, ТЗ, ЧТЗ, ПР, ПМИ, методик, инструкций', 'Проработка UX/UI', 'Проработка интеграции с внешними системами', 'Согласование документов с заказчиком', 'Постановка задач разработчику, вендорам', 'Тестирование функционала, регрессивное тестирование', 'Проведение ПСИ', 'Разбор бэклога, сбор релизов', 'Предоставление рекомендации госзаказчику', 'Confluence', 'Jira', 'Redmine', '1С', 'Power BI', 'Luxms BI', 'Figma', 'Altova', 'Draw.io', 'MS office', 'SQL (MS, MY, PS) простые запросы']","['Сбор, верификация, анализ и описание требований заказчика', 'Отслеживание и контроль проблем и рисков по проекту', 'Написание договорных ТЗ, дорожных карт, ТЗ, ЧТЗ, ПР, ПМИ, методик, инструкций', 'Проработка UX/UI', 'Проработка интеграции с внешними системами', 'Согласование документов с заказчиком', 'Постановка задач разработчику, вендорам', 'Тестирование функционала, регрессивное тестирование', 'Проведение ПСИ', 'Разбор бэклога, сбор релизов', 'Предоставление рекомендации госзаказчику']","['Высшее техническое образование', 'Опыт работы методологом на ГИСе 2,5 года', 'Опыт работы аналитиком 3,5 года', 'Готовность к командировкам']",Средний,2025-08-07T14:19:01+00:00_4,
"#резюме #системныйаналитик #systemanalyst #sa
Здравствуйте! Меня зовут Илья, я ищу работу SA или BA/SA
Опыт работы 3.1 года в продуктовой команде и B2G
Формат работы: удаленно, гибрид или переезд (готов к обсуждению)
Моя текущая геолокация: г. Новосибирск
Образование: Информационные системы и технологии

Обязанности:
- Участие в аналитической проработке задач. Сбор, анализ и уточнение требований у
 заказчика, проводил оценку трудозатрат;
- Поддерживал, реализовывал техническую документацию;
- Разработка функциональных и нефункциональных требований;
- Работа с интеграциями (SOAP, REST). Тестирование в Postman, SoapUI;;
- Писал SQL-запросы и работал с базами данных (PostgreSQL);
- Описывал системные требования, ставил задачи разработчикам;
- Декомпозиция задач и постановка в Jira, Redmine;
- Работал с use-case, ER, UML, IDEF0, BPMN (draw.io, miro, business studio)
- Организация и контроль процесса внедрения нового функционала;
- Анализ логов системы для выявления проблем и использования их при постановке задач
 программистам на исправление багов;
- Работа с QGIS (работа с shape-файлами), GeoServer;
- Написание пользовательской документации;
- Написание ПМИ/ПСИ. Участие в итоговой сдаче, разработанного функционала заказчику;
- Описание интерфейсов пользователя (в Figma);
- Обучение и сопровождение новых аналитиков в компании.

Стэк:
Аналитика: BPMN, UML, ER, SQL, REST API
Документирование: YandexWiki, Jira, Swagger, Figma
Инструменты: Postman, Git, Draw.io, Miro, PlantUml, YandexCloud, PostgreSQL, QGIS
Методология: Agile (Scrum, Kanban)

Более подробно о опыте можете ознакомиться в резюме
Мои контакты:
Телеграм: @ilywp
Телефон: +79931904312
Буду рад познакомиться, узнать о вашей компании и предложить свою кандидатуру",2025-08-07T08:12:55+00:00,Системный аналитик,,Новосибирск,Россия,3.1 года,полная занятость,"удаленно, гибрид или переезд",,,,"['BPMN', 'UML', 'ER', 'SQL', 'REST API', 'YandexWiki', 'Jira', 'Swagger', 'Figma', 'Postman', 'Git', 'Draw.io', 'Miro', 'PlantUml', 'YandexCloud', 'PostgreSQL', 'QGIS', 'Agile', 'Scrum', 'Kanban']","['Участие в аналитической проработке задач. Сбор, анализ и уточнение требований у заказчика, проводил оценку трудозатрат', 'Поддерживал, реализовывал техническую документацию', 'Разработка функциональных и нефункциональных требований', 'Работа с интеграциями (SOAP, REST). Тестирование в Postman, SoapUI', 'Писал SQL-запросы и работал с базами данных (PostgreSQL)', 'Описывал системные требования, ставил задачи разработчикам', 'Декомпозиция задач и постановка в Jira, Redmine', 'Работал с use-case, ER, UML, IDEF0, BPMN (draw.io, miro, business studio)', 'Организация и контроль процесса внедрения нового функционала', 'Анализ логов системы для выявления проблем и использования их при постановке задач программистам на исправление багов', 'Работа с QGIS (работа с shape-файлами), GeoServer', 'Написание пользовательской документации', 'Написание ПМИ/ПСИ. Участие в итоговой сдаче, разработанного функционала заказчику', 'Описание интерфейсов пользователя (в Figma)', 'Обучение и сопровождение новых аналитиков в компании']",,Middle,2025-08-07T08:12:55+00:00_5,
"Добрый день! Меня зовут Виктория. Нахожусь в поиске работы в качестве начинающего Бизнес-аналитика. 

Формат работы: полная занятость, офис/гибрид. 

**ОСНОВНОЙ СТЕК**

**Инструменты и платформы**
MS Excel, Power BI , 1С:П редприятие, Loginom, ARIS , Comunda BPM,
AllFusion Process Modeler, Draw.io, Tilda, Figma, MS Power Point,
MS Word
**Нотации и моделирование**
UML, BPMN, IDEF0, IDEF 3, DFD

**ОБРАЗОВАНИЕ**
РАНХиГС, Факультет ИТ и анализа данных
Магистр бизнес-информатики. Бизнес-аналитика (2025)
РАНХиГС, Факультет ИТ и анализа данных
Бакалавр бизнес-информатики. Бизнес-аналитика (2023)

**ДОПОЛНИТЕЛЬНОЕ ОБРАЗОВАНИЕ**
- 2025: KARPOV.COURSES | Симулятор SQL (прохожу на данный момент)
- 2025: Stepik | Интерактивный тренажер по SQL (прохожу на данный момент) 
- 2025: Практика в роли системного администратора
- 2024: Юридическое сопровождение малого и среднего бизнеса,
РАНХиГС (504 часа) | конкурентное право
- 2022: Практика в 1С

Контакты:
тел: +79267646683
тг: @l_Nikusha_l",2025-08-06T06:27:04+00:00,Бизнес-аналитик,,,,,полная занятость,офис/гибрид,,,,"['MS Excel', 'Power BI', '1С:Предприятие', 'Loginom', 'ARIS', 'Comunda BPM', 'AllFusion Process Modeler', 'Draw.io', 'Tilda', 'Figma', 'MS Power Point', 'MS Word', 'UML', 'BPMN', 'IDEF0', 'IDEF 3', 'DFD']",,,начинающий,2025-08-06T06:27:04+00:00_6,
"🚀 **Вакансия**: System Analyst (Senior)
🏢 **Компания**: HR Prime
🌎 **Локация**: 🌐 Не важно
🕕 **Часовой пояс**: GMT +3
💼 **Формат работы**: дистанционная

💰 **Зарплата**: 4500 - 6000 $ net
📊 **Отрасли**: финтех

🎯 **Требования**:
- Опыт работы в роли Системным Аналитиком от 4-х лет;  
- Опыт в сфере финтех, а в идеале в трейдинге;  
- Опыт работы как с реляционными, так и с нереляционными СУБД;  
- Опыт работы с gRPC;  
- Уровень Английского от B2;

✅ **Рабочие задачи**:
Обязанности: 

- Содействие развитию Торговой платформы, собирая и документируя точные требования совместно с заинтересованными сторонами.  
- Перевод бизнес-процессов в модели, функциональные требования, пользовательские истории и варианты использования для поддержки инноваций.  
-  Создание технической документации, включая спецификации API (REST, WebSocket), диаграммы компонентов и последовательностей, модели данных (UML, BPMN), а также событийно-ориентированную архитектуру и системы очередей сообщений (Kafka, RabbitMQ), обеспечивая стабильность и масштабируемость платформы.

📌 **Условия**:
- Удаленка по миру (кроме РФ и РБ)
- Работа в интернациональной команде профессионалов
- Контрактное оформление

📩 **Контакты**:
 @feainnewedddd

ℹ️ **Дополнительно**:
Привет!
Мы - HR Prime, IT-Рекрутинговое агентство, занимающееся поиском кандидатов как на территории России, так и за рубежом. Наш заказчик –  крупная зарубежная финтех компания. Сейчас ищем сильного СА на доработку одного из передовых продуктов компании - Комплексной торговой платформы.
Подробно о компании заказчика сможем рассказать на первичном интервью.

#BPMN #UML #API #REST #gRPC #Kafka #RabbitMQ #BI #НСИ #Senior #Удаленка #ФинТех",2025-08-05T15:15:16+00:00,System Analyst (Senior),HR Prime,,,от 4-х лет,контрактное оформление,дистанционная,4500.0,6000.0,$,"['реляционные СУБД', 'нереляционные СУБД', 'gRPC', 'REST', 'WebSocket', 'UML', 'BPMN', 'Kafka', 'RabbitMQ', 'Английский B2']","['Содействие развитию Торговой платформы, собирая и документируя точные требования совместно с заинтересованными сторонами.', 'Перевод бизнес-процессов в модели, функциональные требования, пользовательские истории и варианты использования для поддержки инноваций.', 'Создание технической документации, включая спецификации API (REST, WebSocket), диаграммы компонентов и последовательностей, модели данных (UML, BPMN), а также событийно-ориентированную архитектуру и системы очередей сообщений (Kafka, RabbitMQ), обеспечивая стабильность и масштабируемость платформы.']","['Опыт работы в роли Системным Аналитиком от 4-х лет;', 'Опыт в сфере финтех, а в идеале в трейдинге;', 'Опыт работы как с реляционными, так и с нереляционными СУБД;', 'Опыт работы с gRPC;', 'Уровень Английского от B2;']",Senior,2025-08-05T15:15:16+00:00_7,Системный аналитик
"#вакансия #удаленно #remote #аналитик
 
**Вакансия:** Senior Системный аналитик
**Компания:** JETLYN 
**Формат:** удаленно
**Локация:** Россия
**Гражданство:** #РФ
**Вилка ЗП:** от 240 000 до 300 000 рублей на руки в месяц
**Условия оформления, формат: **ТК/ИП

🟡О проекте:
Банковский проект

🟡 Задачи:
-разработка совместно с заказчиком и согласование бизнес требований на загрузку данных из источников, обработку данных, формирование витрин данных и отчетов в рамках проектов направления;
- разработка и оптимизация sql-скриптов, хранимых процедур , ETL процессов загрузки и обработки данных, формирования витрин данных;
- проектирование дашбордов Power BI.

🟡Требования:
- Опыт в банке;
- знание инструментов для обработки данных: SQL, plSql, PostgreSQL;
- написание сложных запросов с использованием CTE -запросов, аналитических функций, и их оптимизация, построение плана запросов;
- опыт работы с базами данных на уровне разработчика: обязательно - Oracle , 
- MS SQL Server, Hadoop, GreenPlum, Vertica;
- опыт самостоятельной разработки дашбордов в bi -инструментах визуализации данных: Tableau, Power BI;
 - опыт работы с отчетностью продаж, воронками продаж.


Резюме и вопросы направляйте, пожалуйста, в телеграмм в ЛС @Geniya_HR  📲🤝",2025-08-05T14:12:03+00:00,Senior Системный аналитик,JETLYN,,Россия,,ТК/ИП,удаленно,240000.0,300000.0,рублей,"['SQL', 'plSql', 'PostgreSQL', 'Oracle', 'MS SQL Server', 'Hadoop', 'GreenPlum', 'Vertica', 'Tableau', 'Power BI']","['разработка совместно с заказчиком и согласование бизнес требований на загрузку данных из источников, обработку данных, формирование витрин данных и отчетов в рамках проектов направления', 'разработка и оптимизация sql-скриптов, хранимых процедур , ETL процессов загрузки и обработки данных, формирования витрин данных', 'проектирование дашбордов Power BI']","['Опыт в банке', 'знание инструментов для обработки данных: SQL, plSql, PostgreSQL', 'написание сложных запросов с использованием CTE -запросов, аналитических функций, и их оптимизация, построение плана запросов', 'опыт работы с базами данных на уровне разработчика: обязательно - Oracle , MS SQL Server, Hadoop, GreenPlum, Vertica', 'опыт самостоятельной разработки дашбордов в bi -инструментах визуализации данных: Tableau, Power BI', 'опыт работы с отчетностью продаж, воронками продаж']",Senior,2025-08-05T14:12:03+00:00_8,Системный аналитик
"#вакансия #системный_аналитик #middle #senior #fulltime #удаленка #outstaff 

Системный аналитик Middle+/ Senior

**Компания**: DSTLab
**Грейд:** Middle+, Senior
**Оформление: **ИП, СМЗ
**Локация: **РФ
**Гражданство: **РФ
**Зарплатная вилка:** 220 т.р. -  280 т.р. 

**Описание**: Ищем Системного аналитика на аутстафф проекты наших партнеров

Обязательные требования
- Высшее образование;
- Опыт работы от 4х лет;
- Владение основным аналитическим инструментарием:
обязателен опыт с Oracle и маппинг их на новый стек (PostgreSQL);
- Компетентность в области системного анализа, умение строить модели и детально описывать процессы;
- Навыки документирования функциональности и уверенное владение стандартами визуального представления моделей (BPMN, UML, ERD);
- Умение создавать процедуры обработки данных средствами PL/SQL и PL/pgSQL;
- Необходимость владеть навыком организации межсистемного взаимодействия через API (SOAP, REST), уметь формировать структуры данных в XML и JSON, иметь обязательный опыт детальной проработки контракта обмена данными;
- Среднее и выше владение языком SQL для составления запросов различной сложности, умение проводить аудит и разбор чужого SQL-кода;
- Уверенная постановка задач программистам, разработка и согласование требований;
- Регулярное участие в процессах проверки качества готового программного решения.

Писать: @vs_955",2025-08-05T13:06:15+00:00,Системный аналитик Middle+/ Senior,DSTLab,,РФ,от 4х лет,аутстафф,полный день,220000.0,280000.0,руб.,"['Oracle', 'PostgreSQL', 'BPMN', 'UML', 'ERD', 'PL/SQL', 'PL/pgSQL', 'SOAP', 'REST', 'XML', 'JSON', 'SQL']","['Создание процедур обработки данных', 'Организация межсистемного взаимодействия через API', 'Формирование структур данных в XML и JSON', 'Детальная проработка контракта обмена данными', 'Постановка задач программистам', 'Разработка и согласование требований', 'Участие в процессах проверки качества готового программного решения']","['Высшее образование', 'Опыт работы от 4х лет', 'Владение основным аналитическим инструментарием', 'Компетентность в области системного анализа', 'Навыки документирования функциональности', 'Уверенное владение стандартами визуального представления моделей', 'Умение создавать процедуры обработки данных', 'Владение навыком организации межсистемного взаимодействия через API', 'Умение формировать структуры данных в XML и JSON', 'Опыт детальной проработки контракта обмена данными', 'Среднее и выше владение языком SQL', 'Умение проводить аудит и разбор чужого SQL-кода', 'Уверенная постановка задач программистам', 'Разработка и согласование требований', 'Регулярное участие в процессах проверки качества готового программного решения']","Middle+, Senior",2025-08-05T13:06:15+00:00_9,Системный аналитик
"#вакансия #удаленно #remote #BI #Data #аналитик
 
**Вакансия: **Mid+/Senior BI analyst 
**Компания: **JETLYN 
**Формат: **удаленно
**Локация:** Россия
**Гражданство:** #РФ
**Вилка ЗП:** от 240 000 до 300 000 рублей на руки в месяц
**Условия оформления, формат: **ТК/ИП

🟡 Описание проекта: ритейл

🟡 Обязательные требования к кандидату: 

- Знание принципов и методов разработки объектов визуализации в Insight;
- Навыки разработки данных: ETL, data modeling;
 - Навыки моделирования и написания SQL-процедур, в том числе в clickhouse;
- Навыки по оптимизации производительности скрипта и объектов визуализации интерфейса;
- Навыки Dashboard design, overall UI/UX design в Insight;
- Знание HTML/CSS на уровне продвинутого пользователя, базовое понимание DOM.

✔️ Желательно:   

- Знания по администрированию системы Insight средствами API, понимание настроек СУД, СУР;  
- Опыт интеграции Insight во внешние среды и наоборот.

Резюме и вопросы направляйте, пожалуйста, в телеграмм в ЛС @Geniya_HR",2025-08-05T12:51:05+00:00,Mid+/Senior BI analyst,JETLYN,,Россия,,ТК/ИП,удаленно,240000.0,300000.0,рублей,"['Insight', 'ETL', 'data modeling', 'SQL-процедуры', 'clickhouse', 'оптимизация производительности скрипта', 'Dashboard design', 'UI/UX design', 'HTML/CSS', 'DOM']",,"['Знание принципов и методов разработки объектов визуализации в Insight', 'Навыки разработки данных: ETL, data modeling', 'Навыки моделирования и написания SQL-процедур, в том числе в clickhouse', 'Навыки по оптимизации производительности скрипта и объектов визуализации интерфейса', 'Навыки Dashboard design, overall UI/UX design в Insight', 'Знание HTML/CSS на уровне продвинутого пользователя, базовое понимание DOM']",Mid+/Senior,2025-08-05T12:51:05+00:00_10,"BI-аналитик, аналитик данных"
"🚀 **Вакансия**: Системный аналитик на проект банка (Middle)
🏢 **Компания**: VOLNA
🌎 **Локация**: 🇷🇺 Россия
🕕 **Часовой пояс**: Москва(Московская область)
💼 **Формат работы**: офис

💰 **Зарплата**: 250-268k Gross
📊 **Отрасли**: другая

🎯 **Требования**:
- Опыт работы от 2-3 лет в качестве бизнес/системного аналитика
- Опыт работы в банковской сфере, знание процессов крупных компаний
- Понимание жизненного цикла продукта и процесса управления требованиями
- Навык подготовки функциональной документации (спецификации, требования на доработку, технические задания)
- Желательно опыт работы с Confluence и Jira
- Опыт построения интеграционных сервисов, понимание клиент-сервисной архитектуры
- Технологический кругозор: Qlik Sense, REST, JSON/XML, HTTP, API, DevOps
- Знание основ языков программирования: SQL, Python

✅ **Рабочие задачи**:
- Анализ и описание бизнес-требований
- Участие в реализации доработок (интеграции, дополнительные настройки в соответствии с требованиями банка)
- Поддержка и доработка дэшбордов
- Проведение приемо-сдаточных испытаний
- Составление и согласование требований
- Участие в тестировании и внедрении
- Участие в работе 3-й линии поддержки
- Оценка трудозатрат по разработкам
- Разработка нового функционала
- Демонстрации возможностей системы
- Написание инструкций и базы знаний

📌 **Условия**:
-Оформление по ИП,ООО,ТК(проектная деятельность)
-Первые 3 месяца – работа в офисе банка,далее гибрид(2-3 дня в неделю)

📩 **Контакты**:
 @alarionova_volna

#MDM #НСИ #Senior #ИП  #РФ #удаленка #1C #вакансия #Senior #ИП #РФ #удаленка #1C #вакансия #Senior #ИП",2025-08-05T12:32:46+00:00,Системный аналитик на проект банка (Middle),VOLNA,Москва,Россия,2-3 года,полная занятость,гибридный,250000.0,268000.0,RUB,"['Confluence', 'Jira', 'Qlik Sense', 'REST', 'JSON/XML', 'HTTP', 'API', 'DevOps', 'SQL', 'Python']","['Анализ и описание бизнес-требований', 'Участие в реализации доработок', 'Поддержка и доработка дэшбордов', 'Проведение приемо-сдаточных испытаний', 'Составление и согласование требований', 'Участие в тестировании и внедрении', 'Участие в работе 3-й линии поддержки', 'Оценка трудозатрат по разработкам', 'Разработка нового функционала', 'Демонстрации возможностей системы', 'Нписание инструкций и базы знаний']","['Опыт работы от 2-3 лет в качестве бизнес/системного аналитика', 'Опыт работы в банковской сфере, знание процессов крупных компаний', 'Понимание жизненного цикла продукта и процесса управления требованиями', 'Навык подготовки функциональной документации', 'Желательно опыт работы с Confluence и Jira', 'Опыт построения интеграционных сервисов, понимание клиент-сервисной архитектуры', 'Технологический кругозор: Qlik Sense, REST, JSON/XML, HTTP, API, DevOps', 'Знание основ языков программирования: SQL, Python']",Middle,2025-08-05T12:32:46+00:00_11,Системный аналитик
