text,date,vacancy,company,city,country,experience,employment,schedule,salary_from,salary_to,currency,skills,responsibilities,requirements,experience level,uid,position
"**ML-engineer / NLP-инженер**

**Локация: **Удаленно 
**Компания:** Salebot
**ЗП:** от 170 000 до 250 000 р.
**Занятость**: Полная

Ищем ML-разработчика/NLP-инженера, который поможет нам создавать и масштабировать решения на базе языковых моделей (LLM), включая обработку текстов, генерацию, извлечение сущностей и построение диалоговых систем. Вам предстоит работать на стыке R&D и продакшена, внедряя ML-решения в реальные продукты.

**Стек**: Python, PyTorch, PySpark, Hadoop, PyTorch Geometric

**Обязанности**:
- Участие во всех этапах ML-разработки: от постановки задачи и подготовки данных до внедрения и сопровождения моделей;
- Работать над улучшением метрик качества;
- Экспериментировать с новыми DL подходами: на табличных данных(AutoInt, TabM, TabR), на основе последовательностей событий (RNN, Transformers, S4), на графах(GraphSAGE, PytorchBigGraph) и подграфах(GAT, GCN);
- Собирать и готовить данные на PySpark кластере.

**Требования**:
- Опыт работы в роли Data Scientist, ML/DL-разработчик от 1 года;
- Опыт разработки и внедрения моделей
- Уверенно программируете на Python (от 3-6 лет), владеете различными библиотеками (pandas, sklearn, lightgbm/catboost, numpy, PyTorch и тд);
- Прошли курсы по ML, Теории вероятностей и мат. статистике, нейронным сетям;
- Знаете архитектуры нейронных сетей и основы PyTorch;
- Умеете работать с данными с помощью SQL, Pandas или Spark, Hive;
- Опыт работы с NLP-моделями;
- Хорошо понимаете Machine learning с точки зрения математики, можете прочитать и разобраться в статье на английском;
- Можете разобраться в коде на Python из незнакомого репозитория GitHub, правильно запустить новый алгоритм;
- Опыт создания AI-агентов и использования их в работе будет преимуществом.

**Будет плюсом, если вы:**
- Знакомы с PyG;
- Работали с табличными данными в DL. -Знакомы с подходами работы с табличными данными, последовательностями табличных данных и графами;
- Уверенно владеете PySpark;
- Навыки работы с генеративными AI-моделями, создания и использования AI-агентов;
- Инструментальное владение AI для анализа, генерации и автоматизации.

**Условия**:
- Работа полностью дистанционная (никаких офисов и т.п.);
- Возможно устройство по ТК или ГПХ;
- Мерчи с уникальным дизайном;
- Высокий доход, а также повышение оплаты труда за рост как специалиста, за новые навыки и скиллы;
- 5/2 с 9:00 до 18:00;
- Испытательный срок – 3 месяца.

**​​**📩 **Резюме отправлять:** info@salebot.pro

–––
Бесплатный постинг вакансий: @freeIT_job
Забирай 📚 [Базу Знаний](https://t.me/easy_ds_job/40)",2025-08-08T09:10:10+00:00,ML-engineer / NLP-инженер,Salebot,,,,Полная,5/2 с 9:00 до 18:00,170000.0,250000.0,р.,"['Python', 'PyTorch', 'PySpark', 'Hadoop', 'PyTorch Geometric']","['Участие во всех этапах ML-разработки: от постановки задачи и подготовки данных до внедрения и сопровождения моделей;', 'Работать над улучшением метрик качества;', 'Экспериментировать с новыми DL подходами: на табличных данных(AutoInt, TabM, TabR), на основе последовательностей событий (RNN, Transformers, S4), на графах(GraphSAGE, PytorchBigGraph) и подграфах(GAT, GCN);', 'Собирать и готовить данные на PySpark кластере.']","['Опыт работы в роли Data Scientist, ML/DL-разработчик от 1 года;', 'Опыт разработки и внедрения моделей', 'Уверенно программируете на Python (от 3-6 лет), владеете различными библиотеками (pandas, sklearn, lightgbm/catboost, numpy, PyTorch и тд);', 'Прошли курсы по ML, Теории вероятностей и мат. статистике, нейронным сетям;', 'Знаете архитектуры нейронных сетей и основы PyTorch;', 'Умеете работать с данными с помощью SQL, Pandas или Spark, Hive;', 'Опыт работы с NLP-моделями;', 'Хорошо понимаете Machine learning с точки зрения математики, можете прочитать и разобраться в статье на английском;', 'Можете разобраться в коде на Python из незнакомого репозитория GitHub, правильно запустить новый алгоритм;', 'Опыт создания AI-агентов и использования их в работе будет преимуществом.']",от 1 года,2025-08-08T09:10:10+00:00_1,Дата-сайентист
"**ML Engineer / Data Scientist (Middle+, 25h/w)**

**Локация: **Удаленно 
**Компания:** Perare
**ЗП:** от 2 100 до 2 600 $
**Занятость**: Частичная
          
**Зачем мы ищем именно вас:**
Мы маленькая команда разработчиков (full-stack, front, back, data, pm) и фаундер.

 **Нам не хватает человека, который:**
- Нужно ускорить доработку AVM для банков и оптимизировать модель под реальные кейсы клиента.
- Важно не просто написать прототип, а вывести модель в продакшен с мониторингом качества.
- В команде нет человека, который мог бы сосредоточиться исключительно на ML-части и давать стабильные результаты.
**
Что предстоит:**
- Аудит существующих моделей: оценка качества, анализ архитектуры и признаков.
- Корректировка и доработка AVM:
Feature engineering и отбор признаков
Настройка и тестирование алгоритмов (градиентный бустинг, нейросети)
- Интеграция модели :
Анализ их данных и метрик
Адаптация модели под специфику данных клиентa
- Валидация и мониторинг:
Настройка метрик и алертинга
Регулярные проверки качества (RMSE, MAE)
- Документация и hand-over:
Описание пайплайна, параметров и рекомендаций
Postman/SQL-скрипты для тестирования
Ежедневные стендапы и отчётность перед лидом.

**Что важно в этой роли:**
- Умение быстро переходить от прототипа к production-ready решению.
- Опыт работы с реальными данными и понимание бизнес-целей.
- Самостоятельность в экспериментах и принятии решений.
- Ответственность за конечный результат и качество оценок.
**
Будет плюсом:**
- Опыт в оценке недвижимости Automated Valuation Model
- Опыт работы с данными объявлений недвижимости на маркетплейсах
- Опыт работы с геоданными esri, google, mapbox
- Владение Docker, Kubernetes, AWS/GCP
- Навыки визуализации результатов (Metabase, Dash, Streamlit)
- Опыт работы с LLM для анализа текстовых данных (судебные решения)
**
Формат работы**:
• 25ч* / нед (5ч × 5 дн) 
• Core-hours 10:00–15:00 МСК.  
• Мы работаем по плану, не по переработкам: задачи должны помещаться в рабочие часы, а согласованный объем работ в согласованные сроки.
- Удалённо. Контракт или ИП (Джакарта/ИНД) — по договорённости.
- $2100 за 4-недельный спринт + бонус 500$, за безошибочный релиз
- Оплата в USD/EUR (Wise/SEPA/USDT) — важно, чтобы вы могли принимать переводы вне РФ.
- Технические условия:  Стабильный доступ к GitHub, Google-докам и облачным CI/CD без постоянных перебоев VPN;

\* Мы рассчитываем, что это ваша приоритетная занятость: задачи планируем под 25 часов, без внезапных «позвали на другую работу».  Если случаются форс-мажоры — предупреждаете заранее, мы перестраиваем план.
**
Дополнительные инструкции:**
Процесс простой: 20-мин созвон → лайт-приоритизация задач → решение ≤ 48 часов.

**​​**📩 **Резюме отправлять:** careers@perare.io

–––
Бесплатный постинг вакансий: @freeIT_job
Забирай 📚 [Базу Знаний](https://t.me/easy_ds_job/40)",2025-08-07T09:10:14+00:00,ML Engineer / Data Scientist,Perare,,Индонезия,,Частичная,Удалённо,2100.0,2600.0,USD,"['Feature engineering', 'Градиентный бустинг', 'Нейросети', 'Docker', 'Kubernetes', 'AWS/GCP', 'Metabase', 'Dash', 'Streamlit', 'LLM', 'Postman', 'SQL', 'GitHub', 'Google-докам', 'CI/CD']","['Аудит существующих моделей', 'Корректировка и доработка AVM', 'Интеграция модели', 'Валидация и мониторинг', 'Документация и hand-over']","['Умение быстро переходить от прототипа к production-ready решению', 'Опыт работы с реальными данными', 'Самостоятельность в экспериментах', 'Ответственность за конечный результат']",Middle+,2025-08-07T09:10:14+00:00_2,Дата-сайентист
"**Team Lead Data Scientist**

**Локация: **Удаленно в РФ
**Компания:** Вторичка
**ЗП:** обсуждается на собеседовании
**Занятость**: Полная
          
Вторичка- занимается разработкой профессиональных инструментов для риэлторов и стратегий монетизации на рынке вторичного жилья.
                                                                                        
**Стек:** Python (Numpy, SciPy, Pandas, sklearn, PyTorch), Hadoop (PySpark, Hive, Kafka), Airflow, Grafana, Superset/FineBI.

**Обязанности:**
Управление командой из 4-х человек (3 Middle DS + Junior DS);
Разработка и внедрение в продакшн моделей машинного обучения для автоматизации и оптимизации процессов компании;
Построение стратегии применения ML инструментов в команде Вторички, совместно с high level бизнес заказчиками;
Управление ожиданиями и прозрачностью у разных стейкхолдеров (Селлеры, Вторичка, Продажи).

**Требования:**
Опыт работы от 3 лет;
Опыт руководства командой от 1 года;
Доведение ML моделей до продакшена и оценки влияния на бизнес от внедрения.
Опыт разработки алгоритмов оптимизации ценообразования с подтвержденным треком результатов в виде роста выручки или ее прокси-метрик.

**Условия:**
Мы предлагаем:
Удаленку из России или офис (Москва, Санкт-Петербург, Новосибирск);
ДМС с первых дней работы (стоматология, госпитализация, полис ВЗР);
Ежегодная компенсация спорта;
5 day off в год помимо основного отпуска;
Доплата за 10 дней больничного;
Скидочные программы от PrimeZone и BestBenefits.

**​​**💬 **Резюме отправлять:** @fr_rec

–––
Бесплатный постинг вакансий: @freeIT_job
Забирай 📚 [Базу Знаний](https://t.me/easy_ds_job/40)",2025-08-06T16:10:19+00:00,Team Lead Data Scientist,Вторичка,,РФ,от 3 лет,Полная,,,,,"['Python (Numpy, SciPy, Pandas, sklearn, PyTorch)', 'Hadoop (PySpark, Hive, Kafka)', 'Airflow', 'Grafana', 'Superset/FineBI']","['Управление командой из 4-х человек (3 Middle DS + Junior DS)', 'Разработка и внедрение в продакшн моделей машинного обучения для автоматизации и оптимизации процессов компании', 'Построение стратегии применения ML инструментов в команде Вторички, совместно с high level бизнес заказчиками', 'Управление ожиданиями и прозрачностью у разных стейкхолдеров (Селлеры, Вторичка, Продажи)']","['Опыт работы от 3 лет', 'Опыт руководства командой от 1 года', 'Доведение ML моделей до продакшена и оценки влияния на бизнес от внедрения', 'Опыт разработки алгоритмов оптимизации ценообразования с подтвержденным треком результатов в виде роста выручки или ее прокси-метрик']",,2025-08-06T16:10:19+00:00_4,Руководитель группы разработки
"**Prompt** **Engineer **

**Локация: **Удаленно (желательно +/- 4 часа от МСК)
**Компания:** AIproChat (это стартап, сайта ещё нет)
**ЗП:** от $6 до $10 / час (~от $1,000 до $1,500)
**Занятость**: Полная

**Опыт:** от 2х лет и более

Друзья, на проект компании AIproChat требуется **Prompt Engineer** для участия в развитии нашего сервиса. Команда — распределённая, архитектура — микросервисная. Используем современные подходы и уделяем внимание качеству кода, тестам и CI/CD.

**Обязательные требования:**
Знание принципов работы LLM и NLP;
Понимание, как работают большие языковые модели, особенности их архитектуры и ограничения;
Формирование и проверка системных промптов для разных настроек модели;
Опыт работы с языковыми моделями;
Практический опыт создания и тестирования промптов для моделей GPT, ChatGPT, GPT-4, PaLM и других;
Настройка LLM;
Навыки программирования;
Владение Python и опыт работы с API LLM (например, OpenAI API, Hugging Face и др.);
Понимание методов оптимизации промптов;
Умение структурировать запросы для получения наиболее релевантных и корректных ответов;
Знания в области машинного обучения и обработки естественного языка (NLP);
Базовые знания алгоритмов и метрик качества моделей NLP.

**Условия:**
Удаленный формат работы из любой точки мира и любого часового пояса (желательно +/- 4 часа от МСК);
Уровень зп: от $6 до $10 / час (~от $1,000 до $1,500);
Часовой пояс +/- 4 часа разница с Мск;
Гибкий график в рамках 5-дневной недели.

**​​**💬 **Резюме отправлять:** @leonety_lety

–––
Бесплатный постинг вакансий: @freeIT_job
Забирай 📚 [Базу Знаний](https://t.me/easy_ds_job/40)",2025-08-06T09:10:12+00:00,Prompt Engineer,AIproChat,,,от 2х лет и более,Полная,Гибкий график в рамках 5-дневной недели,6.0,10.0,$,"['Принципы работы LLM и NLP', 'Архитектура и ограничения больших языковых моделей', 'Формирование и проверка системных промптов', 'Работа с языковыми моделями', 'Создание и тестирование промптов для моделей GPT, ChatGPT, GPT-4, PaLM', 'Настройка LLM', 'Программирование', 'Python', 'API LLM (OpenAI API, Hugging Face)', 'Оптимизация промптов', 'Структурирование запросов', 'Машинное обучение', 'Обработка естественного языка (NLP)', 'Алгоритмы и метрики качества моделей NLP']",,"['Знание принципов работы LLM и NLP', 'Понимание работы больших языковых моделей', 'Формирование и проверка системных промптов', 'Опыт работы с языковыми моделями', 'Практический опыт создания и тестирования промптов', 'Настройка LLM', 'Навыки программирования', 'Владение Python и опыт работы с API LLM', 'Понимание методов оптимизации промптов', 'Умение структурировать запросы', 'Знания в области машинного обучения и NLP', 'Базовые знания алгоритмов и метрик качества моделей NLP']",Средний,2025-08-06T09:10:12+00:00_5,"Программист, разработчик"
"**Team** **Lead Data Scientist**

**Локация: **Удаленно в РФ
**Компания:** Циан
**ЗП:** от 400 000 до 700 000 р. gross
**Занятость**: Полная

Всем привет, я руковожу всем ML/AI в cian ru. Ищу себе в команду двух Team Lead Data Scientist-ов. 

**О нас**:
В Циан большая команда ML. В команде настроены процессы перфоманс ревью, регулярного обмена опытом, выделяем время на исследовательскую работу!

**О вакансиях**:
Первая вакансия в команду ""Вторичный рынок недвижимости"".
Цель команды: оптимизация ценообразования платных продуктов Циан (размещение и продвижение объявлений) и оптимизация этих платных продуктов (предсказание эффективности, аукцион). В команде сейчас 4 ML-разработчика. Подробное описание вакансии тут.

Вторая вакансия в команду ""CRM""
Цель команды: оптимизация прямых коммуникаций с пользователями. Предсказание эффективности отправленного пуша, емейла, смски, оптимизация нагрузки на пользователя, выбор оптимально го канала и времени коммуникации. В команде сейчас 2 ML-разработчика. Подробного описания пока нет, вакансия новая)

**Наш стек**:
●  Python (Numpy, SciPy, Pandas, sklearn, PyTorch);
●  Экосистема Hadoop (PySpark, Hive, Kafka);
●  Airflow;

**Требования к кандидату:**
● Опыт: Не менее 3х лет релевантного опыта на позиции DS в продуктовой компании. Для команды ""Вторичка"", в идеале - опыт оптимизации ценообразования для b-клиентов Очень желательно иметь опыт применения байесовских методов в машинном обучении, Thompson sampling. Для команды CRM - не менее 3х лет на позиции лида или сеньора в оптимизации прямых коммуникаций с клиентами.
● Python: умение писать легко читаемый и поддерживаемый код
● SQL: оконные функции, оптимизация запросов
● Apache стек: HDFS/Kafka/Spark (DF API)
● Классический ML: бустинги, линейные модели.

**Плюшки:**
ДМС с первого дня (стоматология, госпитализация, полис ВЗР), куча льгот и скидок на все на свете, 5 day off в год, помимо основного отпуска.

Ищу двух прям сильных специалистов с опытом.

**​​**💬 **Резюме отправлять:** @AlekseyAlexander

–––
Бесплатный постинг вакансий: @freeIT_job
Забирай 📚 [Базу Знаний](https://t.me/easy_ds_job/40)",2025-08-05T09:10:12+00:00,Team Lead Data Scientist,Циан,,РФ,Не менее 3х лет,Полная,,400000.0,700000.0,р.,"['Python (Numpy, SciPy, Pandas, sklearn, PyTorch)', 'Экосистема Hadoop (PySpark, Hive, Kafka)', 'Airflow', 'SQL', 'Apache стек (HDFS/Kafka/Spark (DF API))', 'Классический ML (бустинги, линейные модели)']","['Оптимизация ценообразования платных продуктов Циан (размещение и продвижение объявлений) и оптимизация этих платных продуктов (предсказание эффективности, аукцион)', 'Оптимизация прямых коммуникаций с пользователями. Предсказание эффективности отправленного пуша, емейла, смски, оптимизация нагрузки на пользователя, выбор оптимального канала и времени коммуникации']","[""Опыт: Не менее 3х лет релевантного опыта на позиции DS в продуктовой компании. Для команды 'Вторичка', в идеале - опыт оптимизации ценообразования для b-клиентов Очень желательно иметь опыт применения байесовских методов в машинном обучении, Thompson sampling. Для команды CRM - не менее 3х лет на позиции лида или сеньора в оптимизации прямых коммуникаций с клиентами."", 'Python: умение писать легко читаемый и поддерживаемый код', 'SQL: оконные функции, оптимизация запросов', 'Apache стек: HDFS/Kafka/Spark (DF API)', 'Классический ML: бустинги, линейные модели.']",Старший специалист/Лидер,2025-08-05T09:10:12+00:00_6,Руководитель группы разработки
"**Middle / Senior АI специалист
**
**Локация:** Удалённо в РФ (гражданство РФ)
**Компания:** JETLYN 
**ЗП**: от 250 000 до 300 000 р. на руки
**Занятость:** Полная
                                                                                          
**Условия оформления, формат: **ТК/ИП

🟡 **Описание проекта: **финтех

**Обязательные требования к кандидату: **
Глубокое понимание генеративных моделей (GPT, BERT, LLaMA и др.);
Опыт интеграции LLM в бизнес-процессы (диалоги, ассистенты, автогенерация контента, резюмирование);
Навыки в NLP/NLU, STT/TTS, RAG-подходах; 
Работа с неструктурированными данными (PDF, сканы, голос) и использование OCR;
Участие в разработке AI-продуктов: от идеи до пилота и продакшна;
Понимание CI/CD, API-интеграций и инфраструктуры ML/AI;
Глубокое понимание генеративных моделей (GPT, BERT, LLaMA и др.);
Опыт интеграции LLM в бизнес-процессы (диалоги, ассистенты, автогенерация контента, резюмирование);
Навыки в NLP/NLU, STT/TTS, RAG-подходах;
Работа с неструктурированными данными (PDF, сканы, голос) и использование OCR;
Участие в разработке AI-продуктов: от идеи до пилота и продакшена;
Понимание CI/CD, API-интеграций и инфраструктуры ML/AI.
 
💬 **Резюме отправлять:** @Geniya_HR

–––
Бесплатный постинг вакансий: @freeIT_job
Забирай 📚 [Базу Знаний](https://t.me/easy_ds_job/40)",2025-08-04T09:10:07+00:00,Middle / Senior АI специалист,JETLYN,,РФ,,Полная,,250000.0,300000.0,р.,"['генеративные модели (GPT, BERT, LLaMA и др.)', 'интеграция LLM в бизнес-процессы', 'NLP/NLU', 'STT/TTS', 'RAG-подходы', 'OCR', 'CI/CD', 'API-интеграций', 'инфраструктура ML/AI']",['Участие в разработке AI-продуктов: от идеи до пилота и продакшена'],"['Глубокое понимание генеративных моделей (GPT, BERT, LLaMA и др.)', 'Опыт интеграции LLM в бизнес-процессы (диалоги, ассистенты, автогенерация контента, резюмирование)', 'Навыки в NLP/NLU, STT/TTS, RAG-подходах', 'Работа с неструктурированными данными (PDF, сканы, голос) и использование OCR', 'Участие в разработке AI-продуктов: от идеи до пилота и продакшена', 'Понимание CI/CD, API-интеграций и инфраструктуры ML/AI']",Middle / Senior,2025-08-04T09:10:07+00:00_7,Другая IT вакансия
"**ML Engineer / Data Scientist
**
**Локация:** Удалённо вне РФ
**Компания:** Adapty
**ЗП**: обсуждается на собеседовании
**Занятость:** Полная
                                                                                           
Adapty helps 10,000+ mobile apps grow revenue through smarter subscriptions, analytics and paywalls. We help developers quickly monetize their apps.

**What You Will Do**:
- Take ownership of your models, guiding them from initial research to full deployment in production, and ensuring they continue to deliver value over time.
- Build and improve models to predict customer revenue and lifetime value (LTV) for mobile apps, helping our customers make better business decisions.
- Providing benchmarks for customer metrics, including Install-to-Trial conversions, Install-to-Paid conversions, and LTV compared to industry standards.
- Make A/B testing smarter by developing tools that identify winning strategies faster and with less data.
- Create models that design highly effective paywalls tailored to each app’s category and audience, optimizing pricing, layout, and content.
- Use data to uncover actionable insights, such as identifying where a small price adjustment could significantly boost revenue.
 
🌐 **Резюме отправлять:** https://wantapply.com/ml-engineer-data-scientist-at-ada

–––
Бесплатный постинг вакансий: @freeIT_job
Забирай 📚 [Базу Знаний](https://t.me/easy_ds_job/40)",2025-08-02T09:10:10+00:00,ML Engineer / Data Scientist,Adapty,,Удалённо вне РФ,,Полная,,,,,,"['Take ownership of your models, guiding them from initial research to full deployment in production, and ensuring they continue to deliver value over time.', 'Build and improve models to predict customer revenue and lifetime value (LTV) for mobile apps, helping our customers make better business decisions.', 'Providing benchmarks for customer metrics, including Install-to-Trial conversions, Install-to-Paid conversions, and LTV compared to industry standards.', 'Make A/B testing smarter by developing tools that identify winning strategies faster and with less data.', 'Create models that design highly effective paywalls tailored to each app’s category and audience, optimizing pricing, layout, and content.', 'Use data to uncover actionable insights, such as identifying where a small price adjustment could significantly boost revenue.']",,,2025-08-02T09:10:10+00:00_8,Дата-сайентист
"**ML-инженер**

**Локация:** Удалённо в РФ (гражданство РФ)
**Компания:** КА Remote grow
**ЗП:** до 350 000 р. 
**Занятость:** Полная
                                                                                               
**Требования к кандидату:**
- Гражданство и локация РФ
- 2+ года в ML или AI или Data Science, опыт с RAG или PROMPT-системами.
- Знание RAG: векторные БД, метрики сходства, кэширование.
- Prompt engineering для LLM (GPT-3.5 или 4, Claude).
- Python, работа с API.
- ETL-инструменты (Airflow, Dagster).
- Docker, Kubernetes.
- Мониторинг и логирование.

Будет преимуществом:
- Опыт в travel-домене.
- Облачные сервисы (AWS/GCP/Azure).
- Масштабирование RAG-систем.
- Работа с feature-flags и экспериментами.

**Обязанности**:
- Сбор данных через ETL (POI, отзывы, описания).
- Интеграция векторного поиска (Pinecone или Weaviate или FAISS).
- Реализация логики кэширования контекста.
- Prompt Engineering:
  - Создание промтов для различных сценариев.
  - A/B-тестирование и оценка качества.

Интеграция LLM API:
  - Работа с OpenAI API, стриминг, обработка ошибок.
  - Настройка fallback-механизмов и system-messages.

MLOps:
  - Docker, Kubernetes.
  - Мониторинг (запросы, latency, cost).
  - CI/CD для пайплайнов.

**Условия:**
Full-time, 5/2. 
Первое время работа в офисе!
А потом удалёнка по желанию.
Вилка до 350к рублей на руки. 

**Немного о нас: **
Мы — команда профессионалов, объединённых одной целью: помочь компаниям и талантам найти друг друга.

Наше агентство предлагает широкий спектр услуг, включая подбор персонала, оценку компетенций и консультации по вопросам HR. Мы понимаем, что каждый бизнес уникален, поэтому подходим к каждому клиенту индивидуально, учитывая его потребности и корпоративную культуру.

🌐 **Резюме отправлять:** https://jobrocket.ru/job/ml-inzhener-ka-remote-grow-63fa9a28

–––
Бесплатный постинг вакансий: @freeIT_job
Забирай 📚 [Базу Знаний](https://t.me/easy_ds_job/40)",2025-08-01T09:10:08+00:00,ML-инженер,КА Remote grow,,РФ,2+ года,Полная,5/2,,350000.0,р.,"['RAG', 'PROMPT-системы', 'Python', 'API', 'ETL-инструменты (Airflow, Dagster)', 'Docker', 'Kubernetes', 'Мониторинг', 'Логирование', 'OpenAI API', 'CI/CD', 'векторные БД', 'метрики сходства', 'кэширование', 'Prompt engineering', 'LLM (GPT-3.5 или 4, Claude)', 'Pinecone', 'Weaviate', 'FAISS']","['Сбор данных через ETL (POI, отзывы, описания)', 'Интеграция векторного поиска (Pinecone или Weaviate или FAISS)', 'Реализация логики кэширования контекста', 'Создание промтов для различных сценариев', 'A/B-тестирование и оценка качества', 'Работа с OpenAI API, стриминг, обработка ошибок', 'Настройка fallback-механизмов и system-messages', 'Docker, Kubernetes', 'Мониторинг (запросы, latency, cost)', 'CI/CD для пайплайнов']","['Гражданство и локация РФ', '2+ года в ML или AI или Data Science, опыт с RAG или PROMPT-системами', 'Знание RAG: векторные БД, метрики сходства, кэширование', 'Prompt engineering для LLM (GPT-3.5 или 4, Claude)', 'Python, работа с API', 'ETL-инструменты (Airflow, Dagster)', 'Docker, Kubernetes', 'Мониторинг и логирование']",Средний (Middle),2025-08-01T09:10:08+00:00_9,Другая IT вакансия
"**Junior** **ML Developer**
** 
Локация: **Удалённо **
Компания:** Сколтех, Центр прикладного ИИ
**ЗП:** обсуждается на собеседовании
**Занятость:** Полная
                                                                                                        
Мы занимаемся разработкой передовых решений для нефтегазовой отрасли  на основе LLMs и графовых БД. Вам предстоит участвовать в разработке системы для автоматического проектирования нефтяных и газовых месторождений (дообучение мультимодальных LLMs для анализа чертежей и извлечения структурированных данных из нормативных документов).
Также мы проводим исследования в области объединения LLMs и графов знаний и участвуем в конференциях уровня А*.
**Формат:** full-time, удаленно.

**Требования к разработчику:**
✅ уверенное знание языка Python;
✅ знание библиотеки Huggingface Transformers;
✅ креативность, нестандартный подход к решению задач.

**Мы предлагаем:**
🔥 удаленный график работы;
🔥 конкурентный уровень ЗП;
🔥 возможность обмена опытом с востребованной сфере с более опытными специалистами.

💬 **Резюме отправлять:** @dmitrij_euseew

–––
Бесплатный постинг вакансий: @freeIT_job
Забирай 📚 [Базу Знаний](https://t.me/easy_ds_job/40)",2025-07-31T09:10:12+00:00,Junior ML Developer,"Сколтех, Центр прикладного ИИ",,,,Полная,Удалённо,,,,"['Python', 'Huggingface Transformers']","['Участие в разработке системы для автоматического проектирования нефтяных и газовых месторождений', 'Дообучение мультимодальных LLMs для анализа чертежей и извлечения структурированных данных из нормативных документов', 'Исследования в области объединения LLMs и графов знаний', 'Участие в конференциях уровня А*']","['Уверенное знание языка Python', 'Знание библиотеки Huggingface Transformers', 'Креативность, нестандартный подход к решению задач']",Junior,2025-07-31T09:10:12+00:00_10,"Программист, разработчик"
"**Младший** **Data Scientist**
** 
Локация: **Удалённо**
Компания:** ДИТ Москвы
**ЗП:** от 95 000 р.
**Занятость:** Полная
                                                                          
В связи с ростом продуктовой команды мы ищем младшего Data Scientist'а, готового развиваться на реальных проектах с социальной значимостью — в рамках Департамента информационных технологий города Москвы (ДИТ Москвы).

🗒** О проекте:**
Мы создаём цифровые продукты в сфере E-government — от сервисов, которыми ежедневно пользуются миллионы жителей, до решений для городской инфраструктуры Москвы.
Работаем с реальными данными, реальными пользователями и видим практический результат своей работы.

**Что важно знать и уметь:**
— Базовые знания статистики, теории вероятностей и линейной алгебры;
— Уверенное владение Python (pandas, numpy, scikit-learn);
— Умение работать с табличными данными (чистка, агрегация, фичи);
— Опыт визуализации данных (matplotlib, seaborn, plotly);
— Навыки написания SQL-запросов;
— Понимание базовых принципов машинного обучения;
— Плюсом будет: опыт работы с моделями классификации/регрессии, знание PyTorch/TensorFlow, понимание бизнес-метрик, опыт работы с BI-системами или MLflow.

**Чем предстоит заниматься:**
— Анализировать данные: проводить EDA, выявлять зависимости и аномалии;
— Строить и тестировать ML-модели на реальных задачах (scikit-learn, XGBoost и др.);
— Готовить фичи и оценивать качество моделей;
— Визуализировать результаты и готовить отчеты;
— Работать в команде с аналитиками, разработчиками и продактами;
— Поддерживать документацию по экспериментам и моделям;
— Участвовать в проработке новых кейсов на основе данных.

**Условия:**
✅ Удалённая работа, 8 ч в день по UTC+3
✅ Гибкий график, возможность совмещать с другими проектами
✅ Оформление — по договорённости
✅ Небольшая команда, быстрые процессы, открытая коммуникация
✅ Поддержка инициативы и роста: наставничество, ревью кода и регулярная обратная связь

💬 **Резюме отправлять:** @HRBP_Mari

–––
Бесплатный постинг вакансий: @freeIT_job
Забирай 📚 [Базу Знаний](https://t.me/easy_ds_job/40)",2025-07-24T09:10:07+00:00,Младший Data Scientist,ДИТ Москвы,Удалённо,,,Полная,Гибкий график,95000.0,,р.,"['статистика', 'теория вероятностей', 'линейная алгебра', 'Python', 'pandas', 'numpy', 'scikit-learn', 'табличные данные', 'чистка данных', 'агрегация данных', 'фичи', 'визуализация данных', 'matplotlib', 'seaborn', 'plotly', 'SQL-запросы', 'машинное обучение', 'модели классификации', 'модели регрессии', 'PyTorch', 'TensorFlow', 'бизнес-метрики', 'BI-системы', 'MLflow']","['Анализировать данные: проводить EDA, выявлять зависимости и аномалии', 'Строить и тестировать ML-модели на реальных задачах (scikit-learn, XGBoost и др.)', 'Готовить фичи и оценивать качество моделей', 'Визуализировать результаты и готовить отчеты', 'Работать в команде с аналитиками, разработчиками и продактами', 'Поддерживать документацию по экспериментам и моделям', 'Участвовать в проработке новых кейсов на основе данных']","['Базовые знания статистики, теории вероятностей и линейной алгебры', 'Уверенное владение Python (pandas, numpy, scikit-learn)', 'Умение работать с табличными данными (чистка, агрегация, фичи)', 'Опыт визуализации данных (matplotlib, seaborn, plotly)', 'Навыки написания SQL-запросов', 'Понимание базовых принципов машинного обучения', 'Опыт работы с моделями классификации/регрессии', 'Знание PyTorch/TensorFlow', 'Понимание бизнес-метрик', 'Опыт работы с BI-системами или MLflow']",Младший,2025-07-24T09:10:07+00:00_12,Дата-сайентист
