text,date,vacancy,company,city,country,experience,employment,schedule,salary_from,salary_to,currency,skills,responsibilities,requirements,experience level,uid,position
"**Senior LLM Ops**  

**Компания:** Napoleon IT  
**Зарплата:** от 300 000 до 450 000 руб.  
**Тип занятости:** #Удаленка  
**Позиция:** #Senior  

Мы запускаем амбициозный проект по созданию корпоративной LLM-системы для крупнейшего ритейлера страны — и ищем топовых специалистов, которые помогут нам совершить революцию в retail с помощью искусственного интеллекта!  
Старт: ~20 августа (проект на 3+ месяца с высоким шансом продления)  

**Обязанности**  
— Развёртывание и управление моделями машинного обучения в производственной среде  
— Настройка и управление инструментами и платформами для машинного обучения  
— Интеграция моделей машинного обучения с существующими системами и инфраструктурой  

**Требования**  
— Опыт работы в DevOps и ML Ops в коммерческих проектах  
— Навыки работы с данными и инструментами машинного обучения  
— Опыт настройки и управления системами CI/CD  
— Опыт работы с облачными и он-прем платформами  

**Что компания предлагает**  
— Удаленный формат работы  
— Участие в инновационном проекте  
— Долгосрочное сотрудничество с возможностью продления  

**Контакт для связи:** @anastasiyatitova  

**⚠️ Для удобства указывайте ссылку на вакансию**  
Ссылка: https://t.me/it_match_ml_ds/254  

**Стек технологий:** #ClearML #Kubernetes #ApacheHadoop/Spark #Jenkins #GitLabCI/CD  
#AI #LLM #ML",2025-08-09T12:00:07+00:00,Senior LLM Ops,Napoleon IT,,,,Удаленка,,300000.0,450000.0,руб.,"['ClearML', 'Kubernetes', 'ApacheHadoop/Spark', 'Jenkins', 'GitLabCI/CD', 'AI', 'LLM', 'ML']","['Развёртывание и управление моделями машинного обучения в производственной среде', 'Настройка и управление инструментами и платформами для машинного обучения', 'Интеграция моделей машинного обучения с существующими системами и инфраструктурой']","['Опыт работы в DevOps и ML Ops в коммерческих проектах', 'Навыки работы с данными и инструментами машинного обучения', 'Опыт настройки и управления системами CI/CD', 'Опыт работы с облачными и он-прем платформами']",Senior,2025-08-09T12:00:07+00:00_0,DevOps-инженер
"**Junior Data Scientist — Skyeng**  

**Компания:** Skyeng  
**Зарплата:** 95.000  
**Тип занятости:** #Удаленка #Гибрид  
**Локация:** #[Удалённая работа]  
**Позиция:** #Junior  

В команду аналитики Skyeng ищем начинающего дата-сайентиста, который хочет прокачаться в реальных задачах персонализации и рекомендаций.  

**Обязанности**  
— Подготавливать и анализировать данные  
— Строить MVP-модели  
— Проводить оценку качества алгоритмов  
— Работать с аналитическими отчётами  

**Требования**  
— Python (pandas, numpy, scikit-learn)  
— SQL и базовые принципы работы с БД  
— Навыки визуализации данных (matplotlib, seaborn, Plotly)  
— Основы A/B-тестирования  
— Плюсом: опыт работы с BI-инструментами (Tableau, PowerBI)  

**Что компания предлагает**  
— Удалёнка, гибкий график  
— Наставничество от опытных специалистов  
— Возможность совмещать с учёбой  

**Контакт для связи:** @HRBP_Vershinina  

**⚠️ Для удобства указывайте ссылку на вакансию**  
Ссылка: https://t.me/it_match_ml_ds/253  

**Стек технологий:** #Python #SQL #Pandas #NumPy #ScikitLearn #Matplotlib #Seaborn #Plotly #Tableau #PowerBI",2025-08-09T09:00:12+00:00,Junior Data Scientist,Skyeng,,,,"['Удаленка', 'Гибрид']",Гибкий график,95000.0,,,"['Python', 'pandas', 'numpy', 'scikit-learn', 'SQL', 'matplotlib', 'seaborn', 'Plotly', 'Tableau', 'PowerBI']","['Подготавливать и анализировать данные', 'Строить MVP-модели', 'Проводить оценку качества алгоритмов', 'Работать с аналитическими отчётами']","['Python (pandas, numpy, scikit-learn)', 'SQL и базовые принципы работы с БД', 'Навыки визуализации данных (matplotlib, seaborn, Plotly)', 'Основы A/B-тестирования', 'Плюсом: опыт работы с BI-инструментами (Tableau, PowerBI)']",Junior,2025-08-09T09:00:12+00:00_1,Дата-сайентист
"**Преподаватель MLOps**  

**Компания:** OTUS  
**Зарплата:** 4000–6000 руб. за 1,5 часа занятия  
**Тип занятости:** #Удаленка #parttime  
**Локация:** #Онлайн  
**Позиция:** #Middle #Senior  

OTUS расширяет команду экспертов (более 650 человек) и ищет опытных специалистов, готовых делиться знаниями. Преподавательский опыт не обязателен — методисты помогут освоить практики преподавания.  

**Обязанности**  
— Прeпoдaвaть на онлайн-курсе MLOps, уделяя внимание практике  
— Развивать навыки публичных выступлений и работы с аудиторией  
— Давать обратную связь студентам  

**Требования**  
— Практический опыт с S3 (S3cmd), HDFS, PySpark, MLFlow, AirFlow, K8S, Docker + Docker compose  
— Готовность обучать и передавать знания  
— Умение работать с технической аудиторией  

**Что компания предлагает**  
— Гибкий график (занятия в вечернее время)  
— Оплата от 4000 до 6000 руб. за занятие  
— Доступ к курсам OTUS, нетворкинг, развитие личного бренда  
— Бесплатные воркшопы и конференции  

**Контакт для связи:** @HR_Nikita  

**⚠️ Для удобства указывайте ссылку на вакансию**  
Ссылка: https://t.me/it_match_ml_ds/252  

**Стек технологий:** #S3 #HDFS #PySpark #MLFlow #AirFlow #K8S #Docker",2025-08-08T17:12:59+00:00,Преподаватель MLOps,OTUS,,,,parttime,Удаленка,4000.0,6000.0,руб.,"['S3 (S3cmd)', 'HDFS', 'PySpark', 'MLFlow', 'AirFlow', 'K8S', 'Docker', 'Docker compose']","['Прeпoдaвaть на онлайн-курсе MLOps, уделяя внимание практике', 'Развивать навыки публичных выступлений и работы с аудиторией', 'Давать обратную связь студентам']","['Практический опыт с S3 (S3cmd), HDFS, PySpark, MLFlow, AirFlow, K8S, Docker + Docker compose', 'Готовность обучать и передавать знания', 'Умение работать с технической аудиторией']","['Middle', 'Senior']",2025-08-08T17:12:59+00:00_2,Методолог
"**Junior Data Engineer (Remote, Full-Time)**  

**Компания:** [Название компании]  
**Зарплата:** по договоренности  
**Тип занятости:** #Удаленка  
**Локация:** #Удаленно  
**Позиция:** #Junior  

Мы ищем Junior Data Engineer для удаленной работы на полный день. Это практическая роль, связанная с преобразованием структурированных данных, логическими рабочими процессами и обеспечением качества. Вы будете работать в команде с опытными инженерами, применяя и совершенствуя правила обработки данных для обеспечения точности и согласованности сложных наборов данных.  

**Обязанности**  
— Применение правил преобразования к структурированным данным (например, JSON, CSV, XML)  
— Сравнение входных и выходных данных для проверки корректности обработки  
— Следование детальным, логически выстроенным инструкциям  
— Выявление несоответствий или отсутствующих элементов в данных  
— Своевременное информирование о вопросах или неясностях для предотвращения ошибок  

**Требования**  
— Внимание к деталям и системное мышление  
— Умение работать с логически структурированными, повторяющимися задачами  
— Быстрая обучаемость и адаптация к новым инструментам и форматам  
— Четкие коммуникативные навыки, способность объяснять решения и сигнализировать о проблемах  

**Что компания предлагает**  
— Полная занятость  
— 100% удаленная работа  
— Долгосрочные перспективы роста до роли QA Engineer  
— Возможность работы с международной командой  

**Контакт для связи:** @TatianaGoro  

**⚠️ Для удобства указывайте ссылку на вакансию**  
Ссылка: https://t.me/it_match_ml_ds/249  

**Стек технологий:** #Python #SQL #JSON #XML",2025-08-07T12:00:04+00:00,Junior Data Engineer,[Название компании],,,,полная занятость,полный день,,,,"['Python', 'SQL', 'JSON', 'XML']","['Применение правил преобразования к структурированным данным (например, JSON, CSV, XML)', 'Сравнение входных и выходных данных для проверки корректности обработки', 'Следование детальным, логически выстроенным инструкциям', 'Выявление несоответствий или отсутствующих элементов в данных', 'Своевременное информирование о вопросах или неясностях для предотвращения ошибок']","['Внимание к деталям и системное мышление', 'Умение работать с логически структурированными, повторяющимися задачами', 'Быстрая обучаемость и адаптация к новым инструментам и форматам', 'Четкие коммуникативные навыки, способность объяснять решения и сигнализировать о проблемах']",junior,2025-08-07T12:00:04+00:00_5,Другая IT вакансия
"**NLP engineer**  

**Компания:** Napoleon IT 🔥  
**Зарплата:** от 300 000 до 450 000  
**Тип занятости:** #Удаленка #Офис #Гибрид  
**Позиция:** #Senior  

Мы — не просто IT-компания, а место, в котором искусственный интеллект объединяется с человеческим.  
Мы - это более 200 сотрудников, 3 офиса в России, 3 разных направления развития: заказная разработка, outstaffing, собственные продукты. 🙌  

**Обязанности**  
— Имплементация и обучение SOTA NLP моделей, как для русского языка, так и мультиязычных;  
— Разработка system design решений;  
— Управление полным циклом разработки: взаимодействие с аналитиками, дата-инженерами, MLOps- и DevOps-специалистами;  
— Задачи полнотекстового анализа: кластеризация, классификация, тематическое моделирование, выделение именованных сущностей, суммаризация, идентификация трендов, анализ тональности, речевая аналитика.  

**Требования**  
— Опыт обучения языковых моделей в таких областях как (хотя бы одна): Visual Question Answering, Sentiment Analysis, Text Summarization, Machine Translation, Chatbots & Virtual Assistants, Image Captioning, Multimodal Models;  
— Знание технологий: #Python, #PyTorch, #PyTorchLightning, #ClearML;  
— Готовность к проектной занятости на 3 месяца с возможным продлением.  

**Что компания предлагает**  
— Несколько вариантов оформления (подробности в звонке);  
— Формат работы на ваше усмотрение (удаленка или офис);  
— Проектная занятость на 3 месяца с возможностью продления.  

**Контакт для связи:** @maksimenkoea  

**⚠️ Для удобства указывайте ссылку на вакансию**  
Ссылка: https://t.me/it_match_ml_ds/248  

**Стек технологий:** #Python #PyTorch #PyTorchLightning #ClearML #Retail #NLP #LLM",2025-08-07T09:00:07+00:00,NLP engineer,Napoleon IT,,Россия,,"['Удаленка', 'Офис', 'Гибрид']",,300000.0,450000.0,,"['Python', 'PyTorch', 'PyTorchLightning', 'ClearML']","['Имплементация и обучение SOTA NLP моделей, как для русского языка, так и мультиязычных;', 'Разработка system design решений;', 'Управление полным циклом разработки: взаимодействие с аналитиками, дата-инженерами, MLOps- и DevOps-специалистами;', 'Задачи полнотекстового анализа: кластеризация, классификация, тематическое моделирование, выделение именованных сущностей, суммаризация, идентификация трендов, анализ тональности, речевая аналитика.']","['Опыт обучения языковых моделей в таких областях как (хотя бы одна): Visual Question Answering, Sentiment Analysis, Text Summarization, Machine Translation, Chatbots & Virtual Assistants, Image Captioning, Multimodal Models;', 'Знание технологий: Python, PyTorch, PyTorchLightning, ClearML;', 'Готовность к проектной занятости на 3 месяца с возможным продлением.']",Senior,2025-08-07T09:00:07+00:00_6,"Программист, разработчик"
"**Senior Data Analyst**  

**Компания:** [Название компании]  
**Зарплата:** 4500 - 5000$  
**Тип занятости:** #Удаленка  
**Локация:** [Город или регион]  
**Позиция:** #Senior  

[Краткое описание компании или вакансии. Можно добавить миссию компании, особенности проекта или команды.]  

**Обязанности**  
— Полный цикл разработки и программирования регулярных отчетов  
— Определение гипотезы и способа ее внедрения в бизнес-процесс  
— PoC и тестирование его с участниками процесса  
— Выведение в прод, поддержка работоспособности отчета, доработки по обратной связи  
— Самостоятельное тестирование гипотез и подготовка готовых решений по улучшению процесса  
— Написание необходимого кода для аналитических экспериментов (скрейпинг, API и др.)  
— Участие в разработке внутренних продуктов с алгоритмической/ИИ/статистической составляющей  
— Ad-hoc аналитика и расследования кейсов падения прибыли/нештатной работы систем  
— Создание системы бизнес-мониторинга и эскалации при аномалиях  

**Требования**  
— Опыт 5+ лет  
— Английский B1  
— Экспертный уровень в Apache AirFlow, ETL-процессах  
— Экспертное знание SQL, работа с датасетами >1 млрд строк  
— Экспертный уровень в OLAP (ClickHouse/BigQuery)  
— Python + Pandas (обработка, визуализация, A/B-тесты, EDA, регрессионный анализ)  
— Активное использование ИИ в аналитике  
— Опыт самостоятельного нахождения инсайтов и оптимизации процессов  
— ""Хакерское"" мышление, поиск неочевидных решений  

**Желательно**  
— Опыт руководства командой аналитиков  
— Опыт в нише, где технология — конкурентное преимущество (HFT/скрейпинг/антифрод и др.)  
— Track record в соревновательном программировании  
— Разработка ML-моделей (прогнозирование, временные ряды, AutoML)  

**Что компания предлагает**  
— Ставка $4500 + фиксированные бонусы за KPI  
— [Дополнительные преимущества]  

**Контакт для связи:** @firysh (Telegram)  

**⚠️ Для удобства указывайте ссылку на вакансию**  
Ссылка: https://t.me/it_match_ml_ds/247  

**Стек технологий:** #ApacheAirFlow #SQL #ClickHouse #BigQuery #Python #Pandas #OLAP #ETL #MachineLearning #AI",2025-08-07T06:00:11+00:00,Senior Data Analyst,[Название компании],[Город или регион],,5+ лет,Удаленка,,4500.0,5000.0,$,"['Apache AirFlow', 'ETL-процессы', 'SQL', 'OLAP (ClickHouse/BigQuery)', 'Python', 'Pandas', 'ИИ', 'MachineLearning']","['Полный цикл разработки и программирования регулярных отчетов', 'Определение гипотезы и способа ее внедрения в бизнес-процесс', 'PoC и тестирование его с участниками процесса', 'Выведение в прод, поддержка работоспособности отчета, доработки по обратной связи', 'Самостоятельное тестирование гипотез и подготовка готовых решений по улучшению процесса', 'Написание необходимого кода для аналитических экспериментов (скрейпинг, API и др.)', 'Участие в разработке внутренних продуктов с алгоритмической/ИИ/статистической составляющей', 'Ad-hoc аналитика и расследования кейсов падения прибыли/нештатной работы систем', 'Создание системы бизнес-мониторинга и эскалации при аномалиях']","['Опыт 5+ лет', 'Английский B1', 'Экспертный уровень в Apache AirFlow, ETL-процессах', 'Экспертное знание SQL, работа с датасетами >1 млрд строк', 'Экспертный уровень в OLAP (ClickHouse/BigQuery)', 'Python + Pandas (обработка, визуализация, A/B-тесты, EDA, регрессионный анализ)', 'Активное использование ИИ в аналитике', 'Опыт самостоятельного нахождения инсайтов и оптимизации процессов', 'Хакерское мышление, поиск неочевидных решений']",Senior,2025-08-07T06:00:11+00:00_7,"BI-аналитик, аналитик данных"
"**PhD AI/ML Researcher в крупную международную компанию**  

**Компания:** Крупная телеком-компания  
**Зарплата:** от 200-300 руб на руки  
**Тип занятости:** #Офис #Гибрид  
**Локация:** #СПб  
**Позиция:** #Senior  

🌟 Мы — команда крупной телеком-компании, объединяющая ML-инженеров, PhD-студентов и преподавателей ведущих вузов. Работаем на стыке науки и инженерии, создавая инновационные решения в области NLP и машинного обучения.  

**Обязанности**  
— Обучение и адаптация небольших LLM под конкретные задачи  
— Разработка и оптимизация semantic search на основе sentence transformers  
— Работа с бенчмарками и эксперименты для оценки качества моделей  
— Создание RAG-систем и AI-агентов  
— Разработка модулей автоматической суммаризации проектов  
— Участие в научных публикациях  
— Работа над «проектом-мечтой» — вашей собственной амбициозной задачей в области ИИ!  

**Требования**  
— PhD-студент или PhD  
— Опыт работы с LLM, трансформерами, NLP  
— Умение тренировать и дообучать модели  
— Знание Python и библиотек для ML  
— Опыт парсинга и обработки текстов  
— Готовность изучать новые статьи и внедрять передовые подходы  
— Разговорный английский  
— Фулл-тайм офис (гибкое начало-окончание рабочего дня)  

**Что компания предлагает**  
— Работа в международной R&D команде  
— Гибкие рабочие часы  
— Возможность участия в научных публикациях  
— Инновационные проекты на стыке науки и инженерии  

**Контакт для связи:** @daria_hw1 (Telegram)  

**⚠️ Для удобства указывайте ссылку на вакансию**  
Ссылка: https://t.me/it_match_ml_ds/246  

**Стек технологий:** #AI #ML #LLM #Python #RAG #PhD #NLP #sentence_transformers",2025-08-06T14:00:07+00:00,PhD AI/ML Researcher,Крупная телеком-компания,СПб,,,"Офис, Гибрид",Фулл-тайм офис (гибкое начало-окончание рабочего дня),200.0,300.0,руб на руки,"['LLM', 'трансформеры', 'NLP', 'Python', 'библиотеки для ML', 'парсинг', 'обработка текстов']","['Обучение и адаптация небольших LLM под конкретные задачи', 'Разработка и оптимизация semantic search на основе sentence transformers', 'Работа с бенчмарками и эксперименты для оценки качества моделей', 'Создание RAG-систем и AI-агентов', 'Разработка модулей автоматической суммаризации проектов', 'Участие в научных публикациях', 'Работа над «проектом-мечтой» — вашей собственной амбициозной задачей в области ИИ']","['PhD-студент или PhD', 'Опыт работы с LLM, трансформерами, NLP', 'Умение тренировать и дообучать модели', 'Знание Python и библиотек для ML', 'Опыт парсинга и обработки текстов', 'Готовность изучать новые статьи и внедрять передовые подходы', 'Разговорный английский']",Senior,2025-08-06T14:00:07+00:00_8,Другая IT вакансия
"**Senior NLP-разработчик**

**Компания:** Brainics  
**Зарплата:** 180-260  
**Тип занятости:** #Удаленка  
**Локация:** #Территория_РФ  
**Позиция:** #Senior  

Ритейл, проект для российской сети розничных магазинов.  

**Обязанности**  
— Имплементация и обучение SOTA NLP моделей для русского и мультиязычного текста  
— Разработка system design решений  
— Управление полным циклом разработки: взаимодействие с аналитиками, дата-инженерами, MLOps- и DevOps-специалистами  
— Выполнение задач полнотекстового анализа: кластеризация, классификация, тематическое моделирование, выделение именованных сущностей, суммаризация, идентификация трендов, анализ тональности, речевая аналитика  

**Требования**  
— Опыт обучения языковых моделей в одной или нескольких областях: Visual Question Answering, Sentiment Analysis, Text Summarization, Machine Translation, Chatbots & Virtual Assistants, Image Captioning, Multimodal Models  
— Уверенные навыки в Python  
— Опыт работы с Pytorch, PyTorch Lightning, ClearML  

**Что компания предлагает**  
— Удаленный формат работы  
— Возможность продления контракта  

**Контакт для связи:** @mila_brainics  

**⚠️ Для удобства указывайте ссылку на вакансию**  
Ссылка: https://t.me/it_match_ml_ds/245  

**Стек технологий:** #Python #Pytorch #PyTorch_Lightning #ClearML",2025-08-06T12:00:09+00:00,Senior NLP-разработчик,Brainics,,Россия,,Удаленка,,180.0,260.0,,"['Python', 'Pytorch', 'PyTorch Lightning', 'ClearML']","['Имплементация и обучение SOTA NLP моделей для русского и мультиязычного текста', 'Разработка system design решений', 'Управление полным циклом разработки: взаимодействие с аналитиками, дата-инженерами, MLOps- и DevOps-специалистами', 'Выполнение задач полнотекстового анализа: кластеризация, классификация, тематическое моделирование, выделение именованных сущностей, суммаризация, идентификация трендов, анализ тональности, речевая аналитика']","['Опыт обучения языковых моделей в одной или нескольких областях: Visual Question Answering, Sentiment Analysis, Text Summarization, Machine Translation, Chatbots & Virtual Assistants, Image Captioning, Multimodal Models', 'Уверенные навыки в Python', 'Опыт работы с Pytorch, PyTorch Lightning, ClearML']",Senior,2025-08-06T12:00:09+00:00_9,"Программист, разработчик"
"**Prompt Engineer**

**Компания:** AIproChat  
**Зарплата:** от $6 до $10 / час (~от $1,000 до $1,500)  
**Тип занятости:** #Удаленка  
**Локация:** #Любая_страна  
**Позиция:** #Middle  

Друзья, на проект компании AIproChat требуется Prompt Engineer для участия в развитии нашего сервиса. Команда — распределённая, архитектура — микросервисная. Используем современные подходы и уделяем внимание качеству кода, тестам и CI/CD.  

**Обязанности**  
— Формирование и проверка системных промптов для разных настроек модели  
— Настройка LLM  
— Создание и тестирование промптов для моделей GPT, ChatGPT, GPT-4, PaLM и других  
— Оптимизация промптов  
— Структурирование запросов для получения релевантных и корректных ответов  

**Требования**  
— Знание принципов работы LLM и NLP  
— Понимание архитектуры и ограничений больших языковых моделей  
— Опыт работы с языковыми моделями от 2х лет  
— Владение Python и опыт работы с API LLM (OpenAI API, Hugging Face и др.)  
— Базовые знания алгоритмов и метрик качества моделей NLP  

**Что компания предлагает**  
— Удаленный формат работы из любой точки мира  
— Гибкий график в рамках 5-дневной недели  
— Современные подходы и внимание к качеству  

**Контакт для связи:** @leonety_lety  

**⚠️ Для удобства указывайте ссылку на вакансию**  
Ссылка: https://t.me/it_match_ml_ds/244  

**Стек технологий:** #Python #PyTorch #LLM #Datasets #API #GPT #LLaMA #Prompt",2025-08-06T09:00:14+00:00,Prompt Engineer,AIproChat,,,2 года,Удаленка,Гибкий график в рамках 5-дневной недели,1000.0,1500.0,USD,"['Python', 'PyTorch', 'LLM', 'Datasets', 'API', 'GPT', 'LLaMA', 'Prompt']","['Формирование и проверка системных промптов для разных настроек модели', 'Настройка LLM', 'Создание и тестирование промптов для моделей GPT, ChatGPT, GPT-4, PaLM и других', 'Оптимизация промптов', 'Структурирование запросов для получения релевантных и корректных ответов']","['Знание принципов работы LLM и NLP', 'Понимание архитектуры и ограничений больших языковых моделей', 'Опыт работы с языковыми моделями от 2х лет', 'Владение Python и опыт работы с API LLM (OpenAI API, Hugging Face и др.)', 'Базовые знания алгоритмов и метрик качества моделей NLP']",Middle,2025-08-06T09:00:14+00:00_10,"Программист, разработчик"
"**Data инженер**  

**Компания:** IFellow  
**Зарплата:** от 230 000 net  
**Тип занятости:** #Удаленка  
**Локация:** #РФ  
**Позиция:** #Middle #Senior  

**Обязанности**  
— Разработка функционала на целевом техстеке: ClickHouse, PostgreSQL, GreenPlum  
— Работа с ядровыми сервисами внутренней платформы EPM (преимущество)  
— Участие в миграции с текущего техстека (SAP HANA, Oracle, MS SQL Server) - только забор данных  

**Требования**  
— Опыт промышленной работы с OLTP СУБД (PostgreSQL, MS SQL Server и др.) от 3х лет  
— Навыки написания SQL-запросов, оптимизации производительности, анализа планов запросов  
— Опыт работы с ClickHouse (ColumnStore БД)  
— Разработка аналитических хранилищ и витрин данных  
— Работа с большими объемами данных (сотни Тб), HighLoad системами  
— Опыт в разработке и поддержке ETL-процессов  
— Навыки работы с командной строкой Linux  

**Что компания предлагает**  
— Работа в аккредитованной IT-компании  
— Официальное трудоустройство  
— ДМС после испытательного срока  
— Корпоративный английский  
— 5 дополнительных оплачиваемых дней к больничному  

**Контакт для связи:** @rinsk_1 (Ирина)  

**⚠️ Для удобства указывайте ссылку на вакансию**  
Ссылка: https://t.me/it_match_ml_ds/243  

**Стек технологий:** #ClickHouse #PostgreSQL #GreenPlum #SAP_HANA #Oracle #MS_SQL_Server #ETL #Linux",2025-08-05T14:00:05+00:00,Data инженер,IFellow,,РФ,,Удаленка,,230000.0,,net,"['ClickHouse', 'PostgreSQL', 'GreenPlum', 'SAP HANA', 'Oracle', 'MS SQL Server', 'ETL', 'Linux']","['Разработка функционала на целевом техстеке: ClickHouse, PostgreSQL, GreenPlum', 'Работа с ядровыми сервисами внутренней платформы EPM (преимущество)', 'Участие в миграции с текущего техстека (SAP HANA, Oracle, MS SQL Server) - только забор данных']","['Опыт промышленной работы с OLTP СУБД (PostgreSQL, MS SQL Server и др.) от 3х лет', 'Навыки написания SQL-запросов, оптимизации производительности, анализа планов запросов', 'Опыт работы с ClickHouse (ColumnStore БД)', 'Разработка аналитических хранилищ и витрин данных', 'Работа с большими объемами данных (сотни Тб), HighLoad системами', 'Опыт в разработке и поддержке ETL-процессов', 'Навыки работы с командной строкой Linux']","['Middle', 'Senior']",2025-08-05T14:00:05+00:00_11,Другая IT вакансия
