text,date,vacancy,company,city,country,experience,employment,schedule,salary_from,salary_to,currency,skills,responsibilities,requirements,experience level,uid,position
"#резюме #ищуработу #удаленка #frontend #react #javascript #fulltime #parttime #reactnative #middle #senior #mobile #app #appDeveloper

👨🏼‍💻 **Hovik**
**React Native / React / JavaScript Developer**

🔹 **Опыт:** 4+ года в коммерческой разработке
🔹 **Формат работы:** Full-time / Part-time / Контракт / Удаленно
🔹 **Ставка:** от **$15/час**

💼 **Обо мне:**
✅ **Опытный React Native разработчик** с более чем **3 годами коммерческой разработки**, работал как **в офисе**, так и **удаленно** с клиентами по всему миру.
✅ **Глубокое понимание мобильной разработки** – участвовал в создании стартапов, крупных проектов и поддержке существующих приложений.
✅ **Полный цикл разработки** – от проектирования архитектуры до публикации в **App Store и Google Play**.
✅ **Интеграция сложных сервисов** – платежные системы, WebView, push-уведомления, карты, аналитика.
✅ **Фокус на производительность и UX** – работа с анимациями, кастомными компонентами, адаптивной версткой.
✅ **Понимание бизнес-логики** и работа в мультинациональных командах с современными методологиями (**Agile, Scrum**).

🛠 **Мой стек:**
⚛ **Frontend:** React Native / React / Expo
🗄 **State Management:** Redux / Context API
📡 **Backend & API:** Firebase (Auth, Firestore, Push) / REST API / WebSockets / GraphQL
🎨 **UI & Анимации:** Reanimated / Gesture Handler / Bottom Sheets / Lottie
📍 **Интеграции:** WebView / Google Maps / OAuth / JWT / Stripe / In-App Purchases
🚀 **Разработка и публикация:** CI/CD / Fastlane / App Store & Google Play

📍 **Резюме отправлю в личные сообщения**
📩 **Контакты:**
💬 Telegram: @Hovo96
📧 Email: hovo.hovsepyan.2000@gmail.com
🔗 LinkedIn: [https://www.linkedin.com/in/hovik-hovsepyan-1906791b9](https://www.linkedin.com/in/hovik-hovsepyan-1906791b9)
💻 GitHub: [https://github.com/hovo96](https://github.com/hovo96)",2025-08-09T11:06:03+00:00,React Native / React / JavaScript Developer,,,,4+ года,"['Full-time', 'Part-time', 'Контракт']",Удаленно,15.0,,$,"['React Native', 'React', 'JavaScript', 'Expo', 'Redux', 'Context API', 'Firebase', 'REST API', 'WebSockets', 'GraphQL', 'Reanimated', 'Gesture Handler', 'Bottom Sheets', 'Lottie', 'WebView', 'Google Maps', 'OAuth', 'JWT', 'Stripe', 'In-App Purchases', 'CI/CD', 'Fastlane', 'App Store', 'Google Play', 'Agile', 'Scrum']","['Разработка мобильных приложений', 'Участие в создании стартапов и крупных проектов', 'Поддержка существующих приложений', 'Интеграция сложных сервисов', 'Работа с анимациями и кастомными компонентами', 'Адаптивная верстка', 'Работа с платежными системами', 'Push-уведомления', 'Карты', 'Аналитика', 'Полный цикл разработки', 'Публикация в App Store и Google Play']","['Опыт 4+ года в коммерческой разработке', 'Глубокое понимание мобильной разработки', 'Опыт работы с React Native и React', 'Знание современных методологий (Agile, Scrum)']",Middle/Senior,2025-08-09T11:06:03+00:00_0,"Программист, разработчик"
"#**резюме**** ****#ищу**** ****#ios**** 

iOS Software Engineer**

**Опыт: 3,5 **года 
**Занятость:** проектная, полная
**Формат: **удаленка / офис (СПб)
**ЗП:** 240 тыс. рублей на руки

**Основной стек
- **SwiftUI, UIKit
- URLSession/Alamofire
- CoreData/Realm
- GCD/async await
- RxSwift
- VIPER, MVP, CLEAN

**Также работал с**
Remote/Local Notifications, AVKit, WidgetKit, UnitTests, StoreKit, MLKit, Vision, Firebase (Messaging, Crashlytics, Auth), SwiftyJSON, BGTasks, Adapty/AppHud, Google Analytics, AppsFlyerFramework, e2e tests, Speech2Text, SwiftLint, R.Swift, SwiftGen etc

**CV скину по запросу**
@romanenkoios",2025-08-09T10:04:41+00:00,iOS Software Engineer,,Санкт-Петербург,Россия,"3,5 года","проектная, полная",удаленка / офис,240000.0,,рублей,"['SwiftUI', 'UIKit', 'URLSession', 'Alamofire', 'CoreData', 'Realm', 'GCD', 'async await', 'RxSwift', 'VIPER', 'MVP', 'CLEAN', 'Remote/Local Notifications', 'AVKit', 'WidgetKit', 'UnitTests', 'StoreKit', 'MLKit', 'Vision', 'Firebase', 'SwiftyJSON', 'BGTasks', 'Adapty/AppHud', 'Google Analytics', 'AppsFlyerFramework', 'e2e tests', 'Speech2Text', 'SwiftLint', 'R.Swift', 'SwiftGen']",,,,2025-08-09T10:04:41+00:00_1,"Программист, разработчик"
"#ищу #резюме #swift #ios #remote #удаленка

Мой стек:
Swift CocoaPods, Swift Package Manager (SPM), Alamofire, JsonSerialization, Codable, SwiftyJSON, Core Data, SQLite, Realm, UserDefaults, KeychainAccess, Firebase, Nuke, Kingfisher, RXSwift, Combine, PWA, UIKit, Storyboard, Xib, верстка кодом, SnapKit, SwiftUI, Git Flow, MVC, MVVM, MVVM+C,  MVP, Clean Swift, Viper и многое другое..

Оплата от 2000 рублей / час в зависимости от сложности проекта и стека.
Готов работать до 20 часов в неделю.
Опыт работы > 5 лет.

Готов предоставить примеры работ и резюме при необходимости.
Full-time работу не предлагать!",2025-08-09T09:22:29+00:00,iOS Developer,,,,> 5 лет,частичная занятость,удаленная работа,2000.0,,рубль,"['Swift', 'CocoaPods', 'Swift Package Manager (SPM)', 'Alamofire', 'JsonSerialization', 'Codable', 'SwiftyJSON', 'Core Data', 'SQLite', 'Realm', 'UserDefaults', 'KeychainAccess', 'Firebase', 'Nuke', 'Kingfisher', 'RXSwift', 'Combine', 'PWA', 'UIKit', 'Storyboard', 'Xib', 'верстка кодом', 'SnapKit', 'SwiftUI', 'Git Flow', 'MVC', 'MVVM', 'MVVM+C', 'MVP', 'Clean Swift', 'Viper']",,,Senior,2025-08-09T09:22:29+00:00_2,"Программист, разработчик"
"#ищу #резюме #android #kotlin #kmp #iOS 

Android**-Разработчик**

Занятость: Подработка, проектная
Формат работы: удаленно
Ожидание по зарплате: от 200$ за проект
Коммерческий опыт: 4+ лет
Стек: Kotlin, Compose, compose multiplatform

Разработка белых/серых проектов, как в одного, так и с командой, есть свои разработчики iOS, Android. Полное сопровождение проектов. 

Опыт: Онлайн кинотеарт (mobile/TV), умный дом, приложение для заказа бургеров (+оплата), чат для социальной поддержки.

Предложения: @friend_work",2025-08-09T08:55:24+00:00,Android-Разработчик,,,,4+ лет,"Подработка, проектная",удаленно,200.0,,$,"['Kotlin', 'Compose', 'compose multiplatform']","Разработка белых/серых проектов, как в одного, так и с командой, полное сопровождение проектов.",,4+ лет,2025-08-09T08:55:24+00:00_3,"Программист, разработчик"
"#резюме #Android #удалёнка #parttime #fulltime

🚀 **Android Developer | Remote (Full-time / Part-time / Project-based)**  
👨‍💻 Опыт: 2 года коммерческой разработки под Android (Kotlin)

🛠 **Технологический стек:**

- **Архитектуры:** MVVM, Clean Architecture, state-event-action
- **Асинхронность:** Kotlin Coroutines, Flow
- **Языки:** Kotlin (100%), Java (опыт ранее)
- **UI:** Jetpack Compose, Views
- **DI:** Hilt, Dagger
- **Сеть:** Retrofit, OkHttp, WebSocket, REST
- **Базы данных:** Room, SQLite
- **Мультимедиа:** ExoPlayer (аудио, видео, онлайн-трансляции), CameraX (pet)
- **Карта и гео:** 2GIS SDK, Yandex MapKit SDK, Google Play Location Services, Huawei Location Services
- **Firebase:** Messaging, Crashlytics, Remote Config
- **Анимации и UI:** Lottie, Coil, Glide, кастомные компоненты

- Git (GitFlow), GitHub
- Работа в команде: iOS / Android / Backend / QA / PM
- Опыт общения с заказчиком, адаптация под меняющийся ТЗ

💰 **Ожидания по зарплате:** от **100 000 ₽/мес** или 750 ₽ /час  
📩 **Контакты:** @ymuratov
📎 **GitHub:** github.com/passerby29",2025-08-09T07:03:36+00:00,Android Developer,,,,2 года коммерческой разработки под Android (Kotlin),"['Full-time', 'Part-time', 'Project-based']",Remote,100000.0,,₽,"['MVVM', 'Clean Architecture', 'state-event-action', 'Kotlin Coroutines', 'Flow', 'Kotlin', 'Java', 'Jetpack Compose', 'Views', 'Hilt', 'Dagger', 'Retrofit', 'OkHttp', 'WebSocket', 'REST', 'Room', 'SQLite', 'ExoPlayer', 'CameraX', '2GIS SDK', 'Yandex MapKit SDK', 'Google Play Location Services', 'Huawei Location Services', 'Firebase Messaging', 'Crashlytics', 'Remote Config', 'Lottie', 'Coil', 'Glide', 'Git', 'GitFlow', 'GitHub']",,,,2025-08-09T07:03:36+00:00_4,"Программист, разработчик"
"#вакансия #vacancy #удаленка #Flutter #fulltime #remote 


Предлагаем ознакомиться с условиями вакансии “Flutter Разработчик”:

Условия:
Проект: gapopa.com
Удаленная работа;
Рабочий день: 4, 6 или 8 часов;
Заработная плата: Стартовая 2000 USD в месяц за 8-часовой рабочий день (1500 USD в месяц за 6-часовой рабочий день, 1000 USD в месяц за 4-часовой рабочий день);
Рабочий график: Понедельник — Пятница, с 11:00 до 13:00 по часовому поясу UTC — в это время необходимо быть обязательно онлайн.

Требования:
Понимание принципов UX-дизайна;
Знание GraphQL и WebSocket;
Умение документировать код;
Навыки написания юнит и/или интеграционных тестов;
Способность читать и понимать техническую литературу на английском языке;
Возможность обеспечить качественную аудио и видеосвязь.

Предлагаем:
Ежедневные выплаты;
Оплата переработок;
Удаленная работа;
Возможность релокации.

Собеседование:
На собеседовании Вам будет предложено ответить на ряд технических вопросов.

Контакты :
 mail hr.recruiter.gapopa@gmail.com
 telegram @vuwwy",2025-08-08T14:54:11+00:00,Flutter Разработчик,gapopa.com,,,,fulltime,"Понедельник — Пятница, с 11:00 до 13:00 по часовому поясу UTC",1000.0,2000.0,USD,"['Flutter', 'GraphQL', 'WebSocket', 'UX-дизайн', 'документирование кода', 'юнит-тестирование', 'интеграционное тестирование']",,"['Понимание принципов UX-дизайна', 'Знание GraphQL и WebSocket', 'Умение документировать код', 'Навыки написания юнит и/или интеграционных тестов', 'Способность читать и понимать техническую литературу на английском языке', 'Возможность обеспечить качественную аудио и видеосвязь']",,2025-08-08T14:54:11+00:00_5,"Программист, разработчик"
"#ищу #резюме #Android #Kotlin #Java #Flutter

Ищу работу.

Android developer

Занятость: любая.
Опыт: 1 год.
Ожидания по оплате: 5$ (500 руб)/час.

Стек:
- Java, Kotlin, Flutter
- Android SDK
- ViewBinding, DataBinding
- Jetpack Compose
- Kotlin Coroutines
- LiveData, Flow
- Navigation Components
- Room
- Retrofit
- Glide, Coil
- OkHttp
- Yandex MapKit
- Ktor, Kotlinx Serialization
- Git

@seva2025",2025-08-08T14:49:01+00:00,Android developer,,,,1 год,любая,,5.0,,USD,"['Java', 'Kotlin', 'Flutter', 'Android SDK', 'ViewBinding', 'DataBinding', 'Jetpack Compose', 'Kotlin Coroutines', 'LiveData', 'Flow', 'Navigation Components', 'Room', 'Retrofit', 'Glide', 'Coil', 'OkHttp', 'Yandex MapKit', 'Ktor', 'Kotlinx Serialization', 'Git']",,,,2025-08-08T14:49:01+00:00_6,"Программист, разработчик"
"#резюме #ищу #iOS #swift #middle

Формат работы: удаленно
Опыт: 4+ года

Ожидание по зарплате: 2000$/мес при fulltime / проектная деятельность / part time 

Обо мне: ищу работу iOS-разработчика, опыт работы в компании, есть свои проекты в App Store, мой стек:

-       UIKit / SwiftUI
-       AutoLayout, Storyboard, xib, SnapKit, PinLayout
-       URLSession, Alamofire, Moya, Kingfisher, SDWebImage
-       Realm, CoreData, UserDefaults, Keychain
-       GCD, OperationQueue
-       Combine
-       MVC, MVVM, Viper
-       AVFoundation, Photos
-       Git (Github Desktop), Github, Gitlab
-       Notification User / APNs key
-       Deeplinks
-       Unit tests
-       CocoaPods, Carthage, SPM
-       SOLID, KISS, YAGNI
-       IAP, SwiftyStoreKit 
-       AppStoreConnect
-       Postman, Charles
-       Figma, Adobe
-       Jira",2025-08-08T13:29:18+00:00,iOS-разработчик,,,,4+ года,fulltime / проектная деятельность / part time,удаленно,2000.0,,$,"['UIKit / SwiftUI', 'AutoLayout, Storyboard, xib, SnapKit, PinLayout', 'URLSession, Alamofire, Moya, Kingfisher, SDWebImage', 'Realm, CoreData, UserDefaults, Keychain', 'GCD, OperationQueue', 'Combine', 'MVC, MVVM, Viper', 'AVFoundation, Photos', 'Git (Github Desktop), Github, Gitlab', 'Notification User / APNs key', 'Deeplinks', 'Unit tests', 'CocoaPods, Carthage, SPM', 'SOLID, KISS, YAGNI', 'IAP, SwiftyStoreKit', 'AppStoreConnect', 'Postman, Charles', 'Figma, Adobe', 'Jira']",,,middle,2025-08-08T13:29:18+00:00_8,"Программист, разработчик"
"#резюме #ищу #swift #iOS #remote #удаленка #fulltime #parttime #mobile 

Позиция:** iOS-разработчик
**
Формат работы: офис, удаленно, гибрид
Занятость: любая
Ожидания по зарплате: 300 000+ рублей **
**Локация: Санкт-Петербург, Россия Коммерческий опыт работы: 9 лет**
**
**Обо мне:

**Профессиональный iOS-разработчик с опытом создания качественных и производительных приложений. Ключевые сильные стороны:

* Глубокое знание Swift и UIKit/SwiftUI - пишу чистый, поддерживаемый и эффективный код.
* Опыт работы с архитектурами (MVVM, VIPER) - умение строить масштабируемые и тестируемые решения.
* Знание многопоточности (GCD, OperationQueue, Combine) - оптимизация производительности приложений.
* Автоматизация процессов (CI/CD, Fastlane, Unit/UI-тесты) - забота о качестве и скорости разработки.

Ответственный, внимательный к деталям и нацеленный на результат специалист. Готов к сложным задачам и работе в команде.**
**
Последние 5 лет работал в иностранной компании над созданием 3 продуктов

1) Приложение по доставке еды (iPhone): личный кабинет, меню, корзина, онлайн-оплата (Stripe), трекинг заказа.
2) POS система (iPad): трекинг смен, прием платежей (Stripe Terminal), фискальные чеки (StariO), аналитика продаж.
3) Self-Service (iPad): киоск-режим, оплата в зале, система лояльности и промо акций.

**Стек:
**- Swift (async/await), Objective-C
- UIKit, SwiftUI
- SnapKit, AutoLayout
- MapKit, ARKit, CoreData
- MVVM, MVP, MVC
- Combine, RxSwift
- SOLID, DRY, KISS
- GCD, OperationQueue
- Alamofire, URLSession, Pusher
- CoreData, Realm, SQLite, Firebase
- XCTest, XCUITest, Swift Testing
- Git, CI/CD (GitHub Actions, Fastlane)
- CocoaPods, Swift Package Manager

**Языки:**
- English - **разговорный
**- Русский - **родной
**
**Резюме по запросу**
**Telegram**: @MaximGolovlev",2025-08-08T13:20:03+00:00,iOS-разработчик,,Санкт-Петербург,Россия,9 лет,любая,"['офис', 'удаленно', 'гибрид']",300000.0,,рублей,"['Swift', 'Objective-C', 'UIKit', 'SwiftUI', 'SnapKit', 'AutoLayout', 'MapKit', 'ARKit', 'CoreData', 'MVVM', 'MVP', 'MVC', 'Combine', 'RxSwift', 'SOLID', 'DRY', 'KISS', 'GCD', 'OperationQueue', 'Alamofire', 'URLSession', 'Pusher', 'Realm', 'SQLite', 'Firebase', 'XCTest', 'XCUITest', 'Swift Testing', 'Git', 'CI/CD', 'GitHub Actions', 'Fastlane', 'CocoaPods', 'Swift Package Manager']",,,,2025-08-08T13:20:03+00:00_9,"Программист, разработчик"
"#резюме #ищу #iOS

iOS разработчик

📌 Опыт: 3 года 7 месяцев
📌 Занятость: полный день 
📌 Формат работы: удалённо
📌 Локация: Москва
📌 Ожидания по зарплате: от 210 тыс. руб./месяц

📌Стек: 
 • UIKit, SwiftUI
 • Программная верстка, SnapKit, Storyboard
 • MVC, MVP, MVVM, Clean Swift
 • Alamofire, URLSession, Moya
 • WebSockets
 • Realm, CoreData
 • SPM, CocoaPods
 • Combine
 • MessageKit, MapKit
 • Kingfisher, Lottie
 • OpenAI Swift
 • GCD
 • Git
 • Figma
 • SOLID, KISS, DRY, YAGNI
 • AppStore

📌 О себе:
Разрабатывал приложения как в составе команды, так и самостоятельно с нуля (есть в AppStore)
Английский - B1

📌Контакты:
Telegram: @vasiliy_ivanov91",2025-08-08T11:58:08+00:00,iOS разработчик,,Москва,Россия,3 года 7 месяцев,полный день,удалённо,210000.0,,руб.,"['UIKit', 'SwiftUI', 'Программная верстка', 'SnapKit', 'Storyboard', 'MVC', 'MVP', 'MVVM', 'Clean Swift', 'Alamofire', 'URLSession', 'Moya', 'WebSockets', 'Realm', 'CoreData', 'SPM', 'CocoaPods', 'Combine', 'MessageKit', 'MapKit', 'Kingfisher', 'Lottie', 'OpenAI Swift', 'GCD', 'Git', 'Figma', 'SOLID', 'KISS', 'DRY', 'YAGNI', 'AppStore']",,,,2025-08-08T11:58:08+00:00_10,"Программист, разработчик"
