text,date,vacancy,company,city,country,experience,employment,schedule,salary_from,salary_to,currency,skills,responsibilities,requirements,experience level,uid,position
"#вакансия #QA #Fullstack  #удаленно 

Компания Centicore 🩵 находится в поисках QA-инженера. Наша компания занимается продуктовой разработкой проектов наших Заказчиков под ключ. 

QA**-инженер
Формат работы: Удалённо 
Вилка: 250-300 на руки 
Оформление: ТК или ИП**

🩵**Условия: **
• Удаленный формат работы в IT аккредитованной компании;
• Длительный проект;
• Оплачиваемый отпуск 28 календарных дней в год и оплачиваемые больничные;
• Предоставление техники (MAC,Windows)
• ДМС;
• Компенсация хобби/спортзала/англ.яз.;
• Компенсация проф.обучения;
• Возможность участия во внутренних программах компании и активностях, например: в реферальной программе «приведи друга»;
• Услуги корпоративного психолога.
Описание команды:

📌Разработка новой мастер системы ""Лимиты"": формирование и создание лимитов, ведение финансовых ковенант на лимитах, контроль лимитов при выдачи кредитов клиентам.

Требования:

Опыт ручного тестирования от 1,5-2 года
Опыт автоматизации тестирования на C# от 1 года
Опыт тестирования API
Практический опыт применения практик тест-дизайна
Рабочие знания клиент-серверной архитектуры
Умение проектировать тест-кейсы и готовить тестовые данные для тестирования
Опыт работы с SOAP, REST, SQL
Соотношение ручного тестирования к авто: 50/50

**Для вопросов и резюме - просьба обращаться в лс ****@yakushkinahr**📩

Буду рада познакомиться!",2025-08-08T15:27:32+00:00,QA-инженер,Centricore,,,1.5-2 года,полная занятость,удаленно,250.0,300.0,на руки,"['ручное тестирование', 'автоматизация тестирования на C#', 'тестирование API', 'тест-дизайн', 'клиент-серверная архитектура', 'SOAP', 'REST', 'SQL']","['разработка новой мастер системы ""Лимиты""', 'формирование и создание лимитов', 'ведение финансовых ковенант на лимитах', 'контроль лимитов при выдачи кредитов клиентам']","['опыт ручного тестирования от 1.5-2 года', 'опыт автоматизации тестирования на C# от 1 года', 'опыт тестирования API', 'практический опыт применения практик тест-дизайна', 'рабочие знания клиент-серверной архитектуры', 'умение проектировать тест-кейсы и готовить тестовые данные для тестирования', 'опыт работы с SOAP, REST, SQL', 'соотношение ручного тестирования к авто: 50/50']",Middle,2025-08-08T15:27:32+00:00_1,Тестировщик
"#вакансия #AQA #middle #удаленка #fulltime 

middle AQA
**
Локация/Гражданство**: РФ 
**Компания:** DstLab
**Оформление:** ИП, СЗ
**Формат: **удаленный
**Вилка:** 140 т.р. - 200 т.р.

**Основные задачи:**
- Разработка тест-кейсов и тестпланов на основе требований и спецификаций продукта
- Выполнение тестирования продукта в соответствии с тестпланами
- Поддержание в актуальном состоянии текущего набора тестовых сценариев
- Анализ функциональных требований
- Выявление и регистрация дефектов в продукте
- Разработка UI и API автотестов на Python/Java
- Поддержание в актуальном состоянии текущего набора автотестов
**
Требования:**
- Опыт работы в тестировании от 3-х лет
- Понимание теории тестирования
- Знание техник тест-дизайна и умение их применять
- Опыт написания тестовой документации (тест-кейсов, чек-листов)
- Опыт тестирования микросервисов с синхронными и асинхронными вызовами
- Понимание протоколов HTTP/WS и знание инструментов для  работы с API (Postman, curl и др.)
- Опыт работы с API (REST)
- Понимание принципов работы брокеров сообщений
- Опыт работы с инструментами для взаимодействия с брокером сообщений
- Умение анализировать логи и опыт работы с инструментами для их анализа (Kibana и др.)
- Умение использовать отладочный прокси-сервер (Fiddler, Charles)
Опыт работы с TMS (Allure TestOPS, Test IT и др.) и багтрекерами (Jira, Redmine и др.)
- Опыт работы с тестовыми фреймворками
- Опыт разработки UI/API тестов на Python/Java
- Опыт работы с Selenium Webdriver
- Опыт работы с базами данных на уровне выполнения простых запросов
- Опыт работы с Git
- Базовое понимание принципов работы CI/CD и опыт работы с CI/CD-

Писать: @v_klv",2025-08-08T10:42:18+00:00,middle AQA,DstLab,,РФ,от 3-х лет,fulltime,удаленный,140000.0,200000.0,т.р.,"['тестирование', 'разработка тест-кейсов', 'тестпланы', 'анализ функциональных требований', 'регистрация дефектов', 'разработка UI и API автотестов', 'Python', 'Java', 'HTTP/WS', 'Postman', 'curl', 'REST', 'брокеры сообщений', 'логи', 'Kibana', 'Fiddler', 'Charles', 'Allure TestOPS', 'Test IT', 'Jira', 'Redmine', 'тестовые фреймворки', 'Selenium Webdriver', 'базы данных', 'Git', 'CI/CD']","['Разработка тест-кейсов и тестпланов на основе требований и спецификаций продукта', 'Выполнение тестирования продукта в соответствии с тестпланами', 'Поддержание в актуальном состоянии текущего набора тестовых сценариев', 'Анализ функциональных требований', 'Выявление и регистрация дефектов в продукте', 'Разработка UI и API автотестов на Python/Java', 'Поддержание в актуальном состоянии текущего набора автотестов']","['Опыт работы в тестировании от 3-х лет', 'Понимание теории тестирования', 'Знание техник тест-дизайна и умение их применять', 'Опыт написания тестовой документации (тест-кейсов, чек-листов)', 'Опыт тестирования микросервисов с синхронными и асинхронными вызовами', 'Понимание протоколов HTTP/WS и знание инструментов для  работы с API (Postman, curl и др.)', 'Опыт работы с API (REST)', 'Понимание принципов работы брокеров сообщений', 'Опыт работы с инструментами для взаимодействия с брокером сообщений', 'Умение анализировать логи и опыт работы с инструментами для их анализа (Kibana и др.)', 'Умение использовать отладочный прокси-сервер (Fiddler, Charles)', 'Опыт работы с TMS (Allure TestOPS, Test IT и др.) и багтрекерами (Jira, Redmine и др.)', 'Опыт работы с тестовыми фреймворками', 'Опыт разработки UI/API тестов на Python/Java', 'Опыт работы с Selenium Webdriver', 'Опыт работы с базами данных на уровне выполнения простых запросов', 'Опыт работы с Git', 'Базовое понимание принципов работы CI/CD и опыт работы с CI/CD-']",middle,2025-08-08T10:42:18+00:00_2,Тестировщик
"#вакансия #QA #Fullstack  #удаленно 

Компания Centicore 🩵 находится в поисках Fullstack QA-инженера (стек C#). Наша компания занимается продуктовой разработкой проектов наших Заказчиков под ключ. 

**Fullstack QA-инженер (стек С#)
Формат работы: Удалённо 
Вилка: 350-400 на руки 
Оформление: ТК или ИП**

🩵**Условия: **
• Удаленный формат работы в IT аккредитованной компании;
• Длительный проект;
• Оплачиваемый отпуск 28 календарных дней в год и оплачиваемые больничные;
• Предоставление техники (MAC,Windows)
• ДМС;
• Компенсация хобби/спортзала/англ.яз.;
• Компенсация проф.обучения;
• Возможность участия во внутренних программах компании и активностях, например: в реферальной программе «приведи друга»;
• Услуги корпоративного психолога.

📌 **Обязанности:**
• Изучение работы
модулей системы и задействованного окружения
Изучение предлагаемых изменений на основании бизнес требований и ИТ архитектуры
решения
• Определение новых и изменяемых функций/модулей системы
• Логическое проектирование новых и изменяемых функций/модулей системы
• Формализация требований к новой или изменяемой функции/модулю подсистемы по
внутренним стандартам организации
• Подготовка задания на разработку:
• Декомпозиция скоупа реализуемых требований на задачи
• Определение последовательности выполнения задач
• Формализация и описание задач на разработку в соответствии с внутренними
правилами команды/направления

✅**Требования:**
• 2-4 года QA, из них > 2 лет в автоматизации на C# (NUnit, xUnit, PageObject)
• Опыт тестирования API, работа с REST, SQL, Kafka
• Расширенный SQL (CTE, индексы); 
• Работа с Kafka
• Генерация отчетности в Allure/ReportPortal и поддержка quality gates в CI
• Практика тест-дизайна, подготовка тестовых данных
• Встраивать тесты в CI/CD, поддерживать стенды и фикстуры данных
• Проводить регресс/смоук перед релизом, анализировать покрытие
• Менторить Junior-ов, участвовать в code-review тестов

**Для вопросов и резюме - просьба обращаться в лс ****@yakushkinahr**📩

Буду рада познакомиться!",2025-08-08T10:12:52+00:00,Fullstack QA-инженер (стек C#),Centricore,,,"2-4 года QA, из них > 2 лет в автоматизации на C# (NUnit, xUnit, PageObject)",ТК или ИП,Удалённо,350.0,400.0,на руки,"['C#', 'NUnit', 'xUnit', 'PageObject', 'API', 'REST', 'SQL', 'Kafka', 'CTE', 'индексы', 'Allure', 'ReportPortal', 'CI', 'тест-дизайн', 'CI/CD', 'регресс', 'смоук', 'менторинг', 'code-review']","['Изучение работы модулей системы и задействованного окружения', 'Изучение предлагаемых изменений на основании бизнес требований и ИТ архитектуры решения', 'Определение новых и изменяемых функций/модулей системы', 'Логическое проектирование новых и изменяемых функций/модулей системы', 'Формализация требований к новой или изменяемой функции/модулю подсистемы по внутренним стандартам организации', 'Подготовка задания на разработку', 'Декомпозиция скоупа реализуемых требований на задачи', 'Определение последовательности выполнения задач', 'Формализация и описание задач на разработку в соответствии с внутренними правилами команды/направления']","['2-4 года QA, из них > 2 лет в автоматизации на C# (NUnit, xUnit, PageObject)', 'Опыт тестирования API, работа с REST, SQL, Kafka', 'Расширенный SQL (CTE, индексы)', 'Работа с Kafka', 'Генерация отчетности в Allure/ReportPortal и поддержка quality gates в CI', 'Практика тест-дизайна, подготовка тестовых данных', 'Встраивать тесты в CI/CD, поддерживать стенды и фикстуры данных', 'Проводить регресс/смоук перед релизом, анализировать покрытие', 'Менторить Junior-ов, участвовать в code-review тестов']",Middle,2025-08-08T10:12:52+00:00_3,Тестировщик
"#вакансия #удалённо #parttime #QA #Java

🦉 Ищем пpепoдaвaтeлeй на oнлaйн-кypсы **Java QA Engineer**

Мы расширяем команду экспертов (уже более 600 человек) и ищем опытных тестировщиков на java . Пpeпoдaвaтельский oпыт не обязателен — мы научим вас всему, что нужно! 

**Требуется:**
 - Опыт работы с Java Core; Selenium WebDriver и Selenide; Appium; Spring Boot; знание инструментов CI/CD

**Обязанности:** 
- подготовиться к зaнятиям (темы на выбор, мaтeриaлы предоставляются);
- прeпoдaвaть в mts-link.ru, уделяя большое внимание практике. Здесь вы сможете развивать навыки публичных выступлений, работы с ayдитoрией и подачи обратной связи.

**Условия:**
✅ гибкий график, легко совмещать с основной работой, зaнятия в вечернее время;
✅ оплата от 4000 до 6000 руб. за 1,5 часа занятия;
✅ бонусы: доступ к нашим кypсaм, нетворкинг, развитие личного бренда, бесплатные воркшопы и конференции.

Обсудить подробнее: @HR_Nikita",2025-08-08T09:47:31+00:00,Преподаватель на онлайн-курсы Java QA Engineer,,,,,parttime,гибкий график,4000.0,6000.0,руб.,"['Java Core', 'Selenium WebDriver', 'Selenide', 'Appium', 'Spring Boot', 'инструменты CI/CD']","['подготовиться к занятиям (темы на выбор, материалы предоставляются)', 'преподавать в mts-link.ru, уделяя большое внимание практике. Здесь вы сможете развивать навыки публичных выступлений, работы с аудиторией и подачи обратной связи']",['Опыт работы с Java Core; Selenium WebDriver и Selenide; Appium; Spring Boot; знание инструментов CI/CD'],,2025-08-08T09:47:31+00:00_4,Тестировщик
"#вакансия #QA #Россия #тестировщик #москва #удаленно #qa_auto #C #Csharp #aqa #автотестирование

Всем привет! **

**Ищу **QA Auto C#** на банковский проект по разработке функционала выдачи кредитов клиентам.

🔒 **Условия:
**• Формат работы: Полностью удаленный (в том числе из-за рубежа)
• Оформление по ТК РФ/ТК РБ(возможно оформление по ИП росс/зарубеж)
• З/п: от 220.000 до 385.000 gross (зп вилка гибкая)
• Компания: Selecty

📍**Требования:
**- Опыт в тестировании от 3 лет
- Опыт автоматизации тестирования на C# от 1,5 лет
- Опыт тестирования API
- Опыт работы с микросервисной архитектурой
- Опыт работы с SOAP, REST, SQL 

📍**Задачи :
**- Поддержка тестовой инфрастуктуры
- Тестирование функционала при приемочном тестировании, при выкатки фичи/фикса в прод
- Участие в проработке требований к задачам, ревью документации
- Автоматизация: 50%
- 50% бэк тестирование, 50% фронт тестирование

**🔘 Мы предлагаем:**
• Удаленный формат работы(в тч вне РФ)
• Ежегодный оплачиваемый отпуск, больничные дни
• Оформление в аккредитованную ИТ-компанию
• З/п вилка выше рыночной
• ДМС с первой недели работы 
• Скидки и бонусы: кино, фитнес, изучение английского языка 
• Компенсация обучения, курсов

**
 📩 Для отправки резюме и по всем вопросам - tg ****@tsekaterina09**",2025-08-08T08:50:01+00:00,QA Auto C#,Selecty,Москва,Россия,от 3 лет,полная занятость,удаленно,220000.0,385000.0,rub,"['C#', 'автотестирование', 'API', 'микросервисная архитектура', 'SOAP', 'REST', 'SQL']","['Поддержка тестовой инфраструктуры', 'Тестирование функционала при приемочном тестировании, при выкатки фичи/фикса в прод', 'Участие в проработке требований к задачам, ревью документации', 'Автоматизация: 50%', '50% бэк тестирование, 50% фронт тестирование']","['Опыт в тестировании от 3 лет', 'Опыт автоматизации тестирования на C# от 1,5 лет', 'Опыт тестирования API', 'Опыт работы с микросервисной архитектурой', 'Опыт работы с SOAP, REST, SQL']",middle,2025-08-08T08:50:01+00:00_5,Тестировщик
"#вакансия #QA #job #vacancy #работа  #удалёнка #java #автоматизация #тестирование

Компания: ЛАНИТ Экспертиза (входит в ГК ЛАНИТ)
Должность: QA Automation (java)
Формат: удалённо 
Занятость: полная  
ЗП: от 100к (в зависимости от компетенций и опыта)

Тебе хочется профессионального развития и работы над очень важными проектами? Добро пожаловать🙌

**Что мы ожидаем**:
🎓Знания языка программирования Java;
🎓Опыт в автоматизации от 1 года, в тестирования от 2-х лет;
🎓Опыт написания собственного фреймворка АТ;
🎓Опыт работы с беком (REST, SQL, Kafka);
🎓Знать библиотеки - cucumber, junit, mokito, selenium.
💪__Будет плюсом: __
📌Опыт работы со Spring Boot и Appium;
📌Опыт настройки и реализации автозапуска тестов при деплои (CI\CD jenkins).

**Чем ты будешь заниматься:**
🧩Погружение в функциональность сервисов;
🧩Поддерживать и актуализировать тестовую модель, которая покрывается автотестами;
🧩Писать сценарии на существующем фреймворке;
🧩Развитие фреймворка: 
🎯Поддержать сценарии, для которых нужно открывать WEB форму и заполнять данные;
🎯Поддержать сценарии с поиском событий и сообщений в логах;
🎯Написание заглушек для изоляции нестабильных интеграций на тесте.

**Что мы предлагаем:**
💫Участие в интересных масштабных проектах с заказчиками федерального уровня;
💫Работу с передовыми технологиями;
💫Стабильную заработную плату;
💫Техника для работы;
💫Официальное трудоустройство согласно ТК РФ;
💫Профессиональное обучение, семинары, тренинги, конференции, митапы, корпоративную библиотеку;
💫Активную корпоративную жизнь (киберспортивные мероприятия, корпоративы/тимбилдинги/квизы/подарки к знаменательным датам);
💫Перспективы профессионального и карьерного роста;
💫3 day off в год на ""поболеть"" или перезагрузиться;
💫ДМС (расширенный);
💫Компенсацию изучения английского.

**Для отклика: направлять резюме с указанием зп ожиданий** @Nadezhda1911_HR",2025-08-08T08:03:49+00:00,QA Automation (java),ЛАНИТ Экспертиза (входит в ГК ЛАНИТ),,,от 2-х лет,полная,удалённо,100000.0,,,"['Java', 'автоматизация', 'тестирование', 'REST', 'SQL', 'Kafka', 'cucumber', 'junit', 'mokito', 'selenium', 'Spring Boot', 'Appium', 'CI/CD jenkins']","['Погружение в функциональность сервисов', 'Поддерживать и актуализировать тестовую модель, которая покрывается автотестами', 'Писать сценарии на существующем фреймворке', 'Развитие фреймворка: Поддержать сценарии, для которых нужно открывать WEB форму и заполнять данные; Поддержать сценарии с поиском событий и сообщений в логах; Написание заглушек для изоляции нестабильных интеграций на тесте']","['Знания языка программирования Java', 'Опыт в автоматизации от 1 года, в тестирования от 2-х лет', 'Опыт написания собственного фреймворка АТ', 'Опыт работы с беком (REST, SQL, Kafka)', 'Знать библиотеки - cucumber, junit, mokito, selenium', 'Опыт работы со Spring Boot и Appium (будет плюсом)', 'Опыт настройки и реализации автозапуска тестов при деплои (CI/CD jenkins) (будет плюсом)']",средний,2025-08-08T08:03:49+00:00_6,Тестировщик
"#вакансия #fulltime #onsite #autoqa #java #mobile #Ташкент

**Должность:** QA Automation Java 
**Компания:** GetIT
**З/П: **от 2500$ до 3500$ (обсуждается на интервью)
**Локация: **Ташкент
**Формат:** Работа в офисе

**Что мы ищем:**
• Опыт в QA от 4 лет;
• Опыт автоматизации от 1 года (Java);
• Опыт в ручном тестировании мобильных приложений;
• Опыт работы с Git, REST API, написанием SQL-запросов;
**Что предстоит делать:**
• Разрабатывать и поддерживать автотесты для мобильного приложения (Java + Appium);
• Описывать и поддерживать тест-кейсы в Allure TestOps;
• Работать в тесной связке с кросс-функциональной командой;
**Условия:**
• Комфортный офис со спортзалом в центре Ташкента;
• Официальное оформление по ТК РУз;
• ДМС с расширенным покрытием;

📩 @hellorose2211",2025-08-08T05:43:09+00:00,QA Automation Java,GetIT,Ташкент,,от 4 лет,полная занятость,полный день,2500.0,3500.0,$,"['Java', 'Appium', 'Git', 'REST API', 'SQL']","['Разрабатывать и поддерживать автотесты для мобильного приложения (Java + Appium)', 'Описывать и поддерживать тест-кейсы в Allure TestOps', 'Работать в тесной связке с кросс-функциональной командой']","['Опыт в QA от 4 лет', 'Опыт автоматизации от 1 года (Java)', 'Опыт в ручном тестировании мобильных приложений', 'Опыт работы с Git, REST API, написанием SQL-запросов']",средний/старший,2025-08-08T05:43:09+00:00_7,Тестировщик
"#вакансия #тестировщик #qa #qaengineer #fulltime #remote #удаленка #automation 
               
Компания Centicore💙  находится в поисках **Тестировщик ETL**. Наша компания занимается продуктовой разработкой проектов наших Заказчиков под ключ.                
               
Вакансия: **Тестировщик ETL**
Компания: крупный коммерческий банк в РФ
Формат работы: удаленный (РФ)
Вилка: 150-215 к на руки (в зависимости от опыта и пожеланий кандидата)               
          
🐦‍⬛** Условия: **               
- Удаленный формат работы в IT аккредитованной компании;               
- Длительный проект;               
- Оплачиваемый отпуск 28 календарных дней в год и оплачиваемые больничные;               
- ДМС;               
- Предоставление техники;
- Компенсация хобби/спортзала/англ.яз.;               
- Индексация/пересмотр ЗП;               
- Компенсация проф.обучения;               
- Возможность участия во внутренних программах компании и активностях, например: в реферальной программе «приведи друга»;               
- Услуги корпоративного психолога.               
            
🐦‍⬛** Ожидания:   **            
- Высшее техническое образование;
- Опыт работы с Oracle, PostgreSQL/GreenPlum;
- Опыт работы ETL инструментами IPC / Airflow;
- Опыт тестирования потоков ETL IPC;
- Опыт в тестировании от 2-х лет.

🐦‍⬛ **Обязанности кандидата:**
- Тестирование сборки витрин данных в стеке Oracle / GreenPlum / PostgreSQL;
- Тестирование ETL IPC.

📩**Для вопросов и резюмe  -  ****@chloe_cay**** 
Желаю всем чудесного дня и продуктивной недели!****💙**",2025-08-08T05:02:19+00:00,Тестировщик ETL,крупный коммерческий банк в РФ,,РФ,от 2-х лет,полная занятость,удаленный,150000.0,215000.0,RUB,"['Oracle', 'PostgreSQL', 'GreenPlum', 'IPC', 'Airflow', 'ETL']","['Тестирование сборки витрин данных в стеке Oracle / GreenPlum / PostgreSQL', 'Тестирование ETL IPC']","['Высшее техническое образование', 'Опыт работы с Oracle, PostgreSQL/GreenPlum', 'Опыт работы ETL инструментами IPC / Airflow', 'Опыт тестирования потоков ETL IPC', 'Опыт в тестировании от 2-х лет']",Middle,2025-08-08T05:02:19+00:00_8,Тестировщик
"#вакансия #удаленка #QA #mobile #automation #java #middle
                                                                    
Компания: Selecty (KA); 
Позиция: QA Full-stack;
Локация: РФ или РБ;
Формат работы: удаленный;
Занятость: полная;
Вилка: от 250 тыс. до 330 тыс. на руки, рассмотрим различные форматы оформления.

Всем привет! 

Ищем фулл-стек тестировщика на банковский проект по разработке раздела Путешествия на сайте Банка и в мобильном приложении.
Веб и мобильное тестирование, 50\50 бэк и фронт, 50\50 авто\ручка.

**Требуемые знания и навыки:**
– Опыт работы фулл-стек тестировщиком от 3 лет;
– Опыт тестирования mobile приложений (от 1 года);
– Опыт покрытия новых функциональностей при помощи инструментов автотестирования (Java) - от 2 лет;
– Опыт работы с интеграционным тестированием;
– Опыт работы с Rest API;
– Опыт работы с SQL и БД на уровне сложных запросов и выгрузок (join, View etc.);
– Опыт работы с CI/CD (Jenkins, GitlabCI);
– Опыт работы с брокерами сообщений (Kafka, RabbitMQ, аналоги;

**Наши условия:**
• Оформление в штат аккредитованной ИТ-компании по ТК РФ или ИП: полностью белая заработная плата, оплачиваемые отпускные и больничные;
• Возможность оформления на иностранное юр. лицо и получение зп в валюте;
• Индексация заработной платы;
• Расширенная программа ДМС;
• Скидки на фитнес, кино и уроки английского;
• Техника по требованиями проекта.

 📩 По всем вопросам можно обращаться сюда: @apoluosmak",2025-08-07T16:03:34+00:00,QA Full-stack,Selecty (KA),,РФ или РБ,от 3 лет,полная,удаленный,250000.0,330000.0,руб,"['тестирование mobile приложений', 'автотестирование (Java)', 'интеграционное тестирование', 'Rest API', 'SQL и БД', 'CI/CD (Jenkins, GitlabCI)', 'брокеры сообщений (Kafka, RabbitMQ)']","Веб и мобильное тестирование, 50\50 бэк и фронт, 50\50 авто\ручка","['Опыт работы фулл-стек тестировщиком от 3 лет', 'Опыт тестирования mobile приложений (от 1 года)', 'Опыт покрытия новых функциональностей при помощи инструментов автотестирования (Java) - от 2 лет', 'Опыт работы с интеграционным тестированием', 'Опыт работы с Rest API', 'Опыт работы с SQL и БД на уровне сложных запросов и выгрузок (join, View etc.)', 'Опыт работы с CI/CD (Jenkins, GitlabCI)', 'Опыт работы с брокерами сообщений (Kafka, RabbitMQ, аналоги)']",middle,2025-08-07T16:03:34+00:00_9,Тестировщик
"#вакансия #ГородМосква #AQA #python 

💻Должность -  AQA Python, Middle и выше
🌐Компания - Devquality
Наш сайт http://devquality.ru/

⚠️Требования:
- Локация и гражданство РФ
- Опыт написания автотестов на Python+pytest: backend и UI (playwright);
- Уверенное знание SQL;
- Желателен опыт работы с брокерами сообщений (Kafka, RabbitMQ);
- Понимание клиент-серверной архитектуры и http протокола;
- Git;
- Базовые знания по настройке CI для автотестов.
🔆**Критерии оценки:** Хорошо разбирается в технологии. Может использовать всю функциональность. Использовал в работе более 1 года в течение последних 3х лет.

✅Обязанности:
**- **Бизнес и технический анализ требований, поступающих в рамках проекта (написание технических постановок для разработчиков);
**- **Приемка и тестирование доработок в рамках проекта;
**- **Обеспечение 3ей линии поддержки в рамках проекта
**- **Участие во встречах, направленных на синхронизацию командной работы.

🔗Условия:
Удалённая работа.
Вилка до 210к рублей на руки. 

🪩Немного о нас: 
Мы работаем в ИТ-области более 8 лет, знаем и любим своё дело. Занимаемся разными видами тестирования, даем возможность руководителям проектов не беспокоиться за свои следующие релизы.
🖋 @OlegHolodov88",2025-08-07T12:57:16+00:00,"AQA Python, Middle и выше",Devquality,Москва,Россия,,полная занятость,удаленная работа,,210000.0,RUB,"['Python', 'pytest', 'SQL', 'Kafka', 'RabbitMQ', 'Git', 'CI', 'HTTP', 'Playwright']","['Бизнес и технический анализ требований, поступающих в рамках проекта (написание технических постановок для разработчиков)', 'Приемка и тестирование доработок в рамках проекта', 'Обеспечение 3ей линии поддержки в рамках проекта', 'Участие во встречах, направленных на синхронизацию командной работы']","['Локация и гражданство РФ', 'Опыт написания автотестов на Python+pytest: backend и UI (playwright)', 'Уверенное знание SQL', 'Желателен опыт работы с брокерами сообщений (Kafka, RabbitMQ)', 'Понимание клиент-серверной архитектуры и http протокола', 'Git', 'Базовые знания по настройке CI для автотестов']",Middle и выше,2025-08-07T12:57:16+00:00_10,Тестировщик
