vacancy,company,city,country,employment,schedule,salary from,salary to,period of pay,currency,skills,text,url,date,level,requirements,responsibilities,position,education,benefits
SEO-специалист,Сила Ума,Москва,Россия,Удаленная работа,Удаленная работа,,,,,"['SEO-аудит', 'оптимизация страниц', 'продвижение в поисковых системах', 'мониторинг и анализ', 'внутренняя и внешняя оптимизация']","Описание вакансии Мы  — динамично развивающаяся экосистема SEO-продуктов, специализирующаяся на автоматизации процессов SEO-продвижения для бизнеса. Наша цель — помогать клиентам достигать высоких позиций в поисковых системах. Мы ищем опытного и увлеченного SEO-специалиста , который готов присоединиться к команде и внести свой вклад в продвижение наших продуктов! Что предстоит делать: ⦁Комплексный SEO-аудит: Проведение детального анализа сайтов для выявления зон роста и точек оптимизации. ⦁Оптимизация страниц: Улучшение существующих и создание новых страниц с учетом требований поисковых систем для увеличения органического трафика. ⦁Продвижение в поисковых системах: Активная работа по продвижению сайтов в Yandex, используя передовые SEO-технологии. ⦁Мониторинг и анализ: Отслеживание ошибок и предупреждений в панелях вебмастеров и принятие мер по их устранению. ⦁Взаимодействие с IT-специалистами: Курирование технических доработок, необходимых для улучшения SEO-показателей сайта. ⦁Внутренняя и внешняя оптимизация: Комплексная работа над улучшением SEO-показателей сайта, включая работу с контентом, корректировку мета-данных, перелинковку и т.д. ⦁Отчетность: Подготовка регулярных отчетов о проделанной работе и достигнутых результатах. Наш идеальный кандидат: ⦁Обладает глубокими знаниями в области поисковой оптимизации и SEO-технологий. ⦁Уверенно работает с Яндекс: Имеет опыт успешного продвижения сайтов в Яндекс. ⦁Может управлять командой: Имеет опыт в управлении командой специалистов, мотивируя и направляя её к достижению целей. ⦁Активен и целеустремлен: Стремится к постоянному развитию и совершенствованию своих навыков. ⦁Ориентирован на результат: Нацелен на достижение конкретных измеримых результатов. ⦁Увлечен своим делом: Готов глубоко погружаться в процесс, а не работать на потоке. Почему стоит выбрать нас: • Рабочий график: понедельник — пятница, с 10:00 до 19:00 по московскому времени. • Формат: полностью удаленная работа — работай из любой точки мира! • Перспективы: реальные возможности карьерного роста и профессионального развития в динамично развивающейся компании. • Команда: сильная, крутейшая команда единомышленников, которая вдохновляет и поддерживает. • Корпоративная жизнь: насыщенная, с интересными проектами и корпоративными мероприятиями. • Вознаграждение: конкурентный уровень заработной платы, обсуждаемый по итогам собеседования. Мы ценим командный дух и стремимся создать атмосферу, где каждый может проявить себя. Если ты готов стать частью нашей команды и внести свой вклад в общее дело,  ждем твоего отклика!",https://geekjob.ru/vacancy/683dc5a8debc6763560688d5,2 июня,Миддл • Сеньор • Тимлид/Руководитель группы,"['глубокие знания в области поисковой оптимизации и SEO-технологий', 'опыт успешного продвижения сайтов в Яндекс', 'опыт в управлении командой специалистов']","['Проведение детального анализа сайтов для выявления зон роста и точек оптимизации', 'Улучшение существующих и создание новых страниц с учетом требований поисковых систем для увеличения органического трафика', 'Активная работа по продвижению сайтов в Yandex, используя передовые SEO-технологии', 'Отслеживание ошибок и предупреждений в панелях вебмастеров и принятие мер по их устранению', 'Курирование технических доработок, необходимых для улучшения SEO-показателей сайта', 'Комплексная работа над улучшением SEO-показателей сайта, включая работу с контентом, корректировку мета-данных, перелинковку и т.д.', 'Подготовка регулярных отчетов о проделанной работе и достигнутых результатах']",Дата-сайентист,,
HR дженералиста,FinDev,Москва,Россия,Удаленная работа,Удаленная работа,150000.0,220000.0,,₽,"['HR', 'организаторские способности', 'административные задачи', 'коммуникация', 'английский язык']","Описание вакансии FinDev  – интернациональная компания, созданная ИТ инженерами. Cпециализируемся на создании нишевого программного обеспечения, которое используется крупными международными банками и инвестиционными фондами. Ищем HR дженералиста в Москве. Нам нужен человек, который в первую очередь является HR-ом, при этом обладает хорошими организаторскими способностями, и с удовольствием будет выполнять административные задачи. У нас распределенная HR команда, над многими проектами мы работаем вместе. Что нужно будет делать: Коммуникация с сотрудниками по различным вопросам; Разработка и организация корпоративных мероприятий (общекорпоративных и внутриофисных); Ведение соцпакета (медицинское страхование, обучение и т.п.); Сопровождение по вопросам приема, увольнения, перевода и отпусков сотрудников; Ведение учета расходов; Оперативное решение любых других вопросов - логистических‚ технических‚ организационных; Работа с документами, включая организацию их доставки; Участие в подготовке открытия филиалов компании в других странах; Офис: полное обеспечение функционирования офиса, организация ремонта при необходимости. Кого мы ищем: Позитивную и эмпатичную коллегу с хорошими навыками конструктивной коммуникации; Владеющую английским языком на уровне В2+; Внимательную к деталям и умеющую читать юридическую документацию; Хорошо ориентирующуюся в законодательстве по трудовым вопросам; Условия работы: Гибридный график работы, офис в Москве ДМС. 50% оплата профессионального обучения и курсов английского.",https://geekjob.ru/vacancy/683dcbc7e5b179027f0ac85a,2 июня,Сеньор,"['Позитивная и эмпатичная коллега', 'Владеющая английским языком на уровне В2+', 'Внимательная к деталям и умеющая читать юридическую документацию', 'Хорошо ориентирующаяся в законодательстве по трудовым вопросам']","['Коммуникация с сотрудниками по различным вопросам', 'Разработка и организация корпоративных мероприятий', 'Ведение соцпакета', 'Сопровождение по вопросам приема, увольнения, перевода и отпусков сотрудников', 'Ведение учета расходов', 'Оперативное решение любых других вопросов', 'Работа с документами, включая организацию их доставки', 'Участие в подготовке открытия филиалов компании в других странах', 'Офис: полное обеспечение функционирования офиса, организация ремонта при необходимости']","Программист, разработчик",,
HR дженералиста,FinDev,Москва,Россия,Удаленная работа,Удаленная работа,150000.0,220000.0,,₽,"['HR', 'организаторские способности', 'административные задачи']","Описание вакансии FinDev  – интернациональная компания, созданная ИТ инженерами. Cпециализируемся на создании нишевого программного обеспечения, которое используется крупными международными банками и инвестиционными фондами. Ищем HR дженералиста в Москве. Нам нужен человек, который в первую очередь является HR-ом, при этом обладает хорошими организаторскими способностями, и с удовольствием будет выполнять административные задачи. У нас распределенная HR команда, над многими проектами мы работаем вместе. Что нужно будет делать: Коммуникация с сотрудниками по различным вопросам; Разработка и организация корпоративных мероприятий (общекорпоративных и внутриофисных); Ведение соцпакета (медицинское страхование, обучение и т.п.); Сопровождение по вопросам приема, увольнения, перевода и отпусков сотрудников; Ведение учета расходов; Оперативное решение любых других вопросов - логистических‚ технических‚ организационных; Работа с документами, включая организацию их доставки; Участие в подготовке открытия филиалов компании в других странах; Офис: полное обеспечение функционирования офиса, организация ремонта при необходимости. Кого мы ищем: Позитивную и эмпатичную коллегу с хорошими навыками конструктивной коммуникации; Владеющую английским языком на уровне В2+; Внимательную к деталям и умеющую читать юридическую документацию; Хорошо ориентирующуюся в законодательстве по трудовым вопросам; Условия работы: Гибридный график работы, офис в Москве ДМС. 50% оплата профессионального обучения и курсов английского.",https://geekjob.ru/vacancy/683dcbc8e92114f60b0e0332,2 июня,Сеньор,"['Позитивная и эмпатичная коллега с хорошими навыками конструктивной коммуникации', 'Владеющая английским языком на уровне В2+', 'Внимательная к деталям и умеющая читать юридическую документацию', 'Хорошо ориентирующаяся в законодательстве по трудовым вопросам']","['Коммуникация с сотрудниками по различным вопросам', 'Разработка и организация корпоративных мероприятий', 'Ведение соцпакета', 'Сопровождение по вопросам приема, увольнения, перевода и отпусков сотрудников', 'Ведение учета расходов', 'Оперативное решение любых других вопросов', 'Работа с документами, включая организацию их доставки', 'Участие в подготовке открытия филиалов компании в других странах', 'Офис: полное обеспечение функционирования офиса, организация ремонта при необходимости']",DevOps-инженер,,
HR дженералиста,FinDev,Москва,Россия,Удаленная работа • Работа в офисе,Офис,150000.0,220000.0,,₽,"['HR', 'организаторские способности', 'административные задачи', 'коммуникация', 'английский язык']","Описание вакансии FinDev  – интернациональная компания, созданная ИТ инженерами. Cпециализируемся на создании нишевого программного обеспечения, которое используется крупными международными банками и инвестиционными фондами. Ищем HR дженералиста в Москве. Нам нужен человек, который в первую очередь является HR-ом, при этом обладает хорошими организаторскими способностями, и с удовольствием будет выполнять административные задачи. У нас распределенная HR команда, над многими проектами мы работаем вместе. Что нужно будет делать: Коммуникация с сотрудниками по различным вопросам; Разработка и организация корпоративных мероприятий (общекорпоративных и внутриофисных); Ведение соцпакета (медицинское страхование, обучение и т.п.); Сопровождение по вопросам приема, увольнения, перевода и отпусков сотрудников; Ведение учета расходов; Оперативное решение любых других вопросов - логистических‚ технических‚ организационных; Работа с документами, включая организацию их доставки; Участие в подготовке открытия филиалов компании в других странах; Офис: полное обеспечение функционирования офиса, организация ремонта при необходимости. Кого мы ищем: Позитивную и эмпатичную коллегу с хорошими навыками конструктивной коммуникации; Владеющую английским языком на уровне В2+; Внимательную к деталям и умеющую читать юридическую документацию; Хорошо ориентирующуюся в законодательстве по трудовым вопросам; Условия работы: Гибридный график работы, офис в Москве ДМС. 50% оплата профессионального обучения и курсов английского.",https://geekjob.ru/vacancy/683dcbc97fa8ac0bbb06b67a,2 июня,Сеньор,"['Позитивная и эмпатичная коллега', 'Владеющая английским языком на уровне В2+', 'Внимательная к деталям и умеющая читать юридическую документацию', 'Хорошо ориентирующаяся в законодательстве по трудовым вопросам']","['Коммуникация с сотрудниками по различным вопросам', 'Разработка и организация корпоративных мероприятий', 'Ведение соцпакета', 'Сопровождение по вопросам приема, увольнения, перевода и отпусков сотрудников', 'Ведение учета расходов', 'Оперативное решение любых других вопросов', 'Работа с документами, включая организацию их доставки', 'Участие в подготовке открытия филиалов компании в других странах', 'Офис: полное обеспечение функционирования офиса, организация ремонта при необходимости']",Директор по информационным технологиям (CIO),,
SEO Lead,Pink Elephant,Lisbon,Portugal,Удаленная работа,Удаленная работа,150000.0,200000.0,,₽,"['SEO optimization', 'GSC', 'Ahrefs', 'SEMrush', 'HTML']","Описание вакансии 🧠 SEO Lead 🌍  Remote / Europe-first  🌱 Pink Elephant — Psychedelics × Digital Mental Health Venture Builder We are creating a portfolio of products and services that will provide access to the conscious and safe use of psychedelics for mental health and self-development, remove the social stigma surrounding psychedelics, and enable many people to approach this tool for personal growth in a safe and informed way. With growing cultural interest and policy shifts around psychedelics, we recognize that most experiences still happen outside clinics and therapists’ cabinets in social or home settings, creating a significant gap between promoted media narratives and reality. We are driven to empower explorers throughout their entire journey of self-exploration and personal growth in the settings they prefer. Our mission is to provide reliable, accessible guidance to bridge this gap, helping people transform unsupervised use into mindful practice through education, community support, and practical tools for safer journeys. We are building the next unicorn in mental health. To reach the next 1 million monthly explorers, we need an SEO Lead who can turn search engines into our key acquisition channel. What You’ll Be Doing Own the end-to-end SEO strategy: Map our 9-month path to 1M MAU: full-blown content engine vs iterative experiments, staging inflection points for each 10 × traffic jump.   Ship a technically perfect site: Plan information architecture, core web vitals, schema, AI-readiness, multilingual tagging & CMS workflows.   Build & expand the semantic universe: Create and continuously refine keyword clusters across Mental Health → Psychedelics → Product sub-niches; brief writers and designers with crystal-clear content specs.   Link authority & E-E-A-T: Design white-hat off-page programmes (digital PR, thought-leadership, partnership domains, academic backlinks).   Analytics & iteration loop: Wire GA4 → GSC → Looker dashboards; track MAU, rankings, CTR to products, crawl errors; present insight → next sprint every fortnight.   1st-Month Deliverables Build the first version of the website with all technical SEO considerations in place. Prepare technical briefs for the editorial team after compiling the initial keyword universe. Create content briefs for priority search queries. Define the keyword execution strategy. Draft a fast-track market-entry plan (e.g. acquiring aged domains and related assets). 3rd-Month Milestone ≥ 13 000 MAU, with targeted % of sessions clicking through to our diagnostic funnel (TBC).   KPIs You Own HorizonCore MetricsTargetsMonth 1Technical SEO readiness% of priority pages pass CWV, index & schema health checks (TBC)Month 2Early tractionFirst organic sessions & backlinks liveMonth 3Traffic & engagement≥ 13 k MAUOngoingAcquisition efficiencyBlended CAC ≤ paid channels by month 6 (TBC) Must-Have Experience & Skills 5 + yrs devising and executing SEO optimization roadmaps for Western markets (US, UK, EU). Proven 0 → 10 k MAU wins; portfolio of domains grown from scratch or post-migration turnarounds. Mastery of GSC, Ahrefs, SEMrush, Screaming Frog, Surfer/Frase or equivalents. Fluent in on-page, tech, and off-page SEO; solid grasp of HTML, CSS, common CMS (Webflow / WordPress / headless). Comprehensive understanding of ranking factors and how they affect a site’s visibility in the SERPs. Up-to-date on AI-powered SERP features and prompt-engineering content for them. Experiment-hungry, outcomes-obsessed, comfortable sparring with engineers and editors alike.   Who You’ll Partner With Content Studio – editors, writers, designers (briefs → publish cadence). Marketing & Growth – CMO, paid-media, lifecycle (funnel analytics, CRO tests). Product & Engineering – CTO, web dev squad (site perf, structured data, CMS). Leadership – CEO & CMO co-decision makers on major bets (domain purchases, budget shifts).   APPLY ​ or https://​ if you see the match!",https://geekjob.ru/vacancy/683e41b5a8297f657604cc06,3 июня,Миддл,"['5 + yrs devising and executing SEO optimization roadmaps for Western markets (US, UK, EU)', 'Proven 0 → 10 k MAU wins', 'Mastery of GSC, Ahrefs, SEMrush, Screaming Frog, Surfer/Frase or equivalents', 'Fluent in on-page, tech, and off-page SEO', 'Solid grasp of HTML, CSS, common CMS (Webflow / WordPress / headless)', 'Comprehensive understanding of ranking factors and how they affect a site’s visibility in the SERPs', 'Up-to-date on AI-powered SERP features and prompt-engineering content for them', 'Experiment-hungry, outcomes-obsessed, comfortable sparring with engineers and editors alike']","['Own the end-to-end SEO strategy', 'Ship a technically perfect site', 'Build & expand the semantic universe', 'Link authority & E-E-A-T', 'Analytics & iteration loop', 'Build the first version of the website with all technical SEO considerations in place', 'Prepare technical briefs for the editorial team after compiling the initial keyword universe', 'Create content briefs for priority search queries', 'Define the keyword execution strategy', 'Draft a fast-track market-entry plan (e.g. acquiring aged domains and related assets)']",Аналитик,,
React-Native разработчика,LogicLike,,,Удаленная работа,Удаленная работа,,,,,"['React Native', 'TypeScript', 'React', 'мобильные приложения']","Описание вакансии LogicLike  - цифровая среда для развития логики и мышления детей и взрослых. Мы помогаем провести время за экраном весело и с пользой. Наши продукты: WEB платформа для детей 4-12 лет App для детей 4-12 лет (iOS + Android) App для взрослых (iOS + Android) Месячная аудитория - 1 000 000 пользователей в 60 странах. Кого мы ищем? Сейчас мы усиливаем мобильную команду и ищем React-Native разработчика. Задачи уже ждут — нам нужен человек, который быстро включится в работу и поможет развивать продукт дальше. Что ты будешь делать: Разрабатывать новый функционал мобильных приложений Работать вместе с дизайнерами, продактами и другими разработчиками Поддерживать и развивать уже написанный код Влиять на продукт, предлагать улучшения и видеть результат своей работы Кто нам подойдёт: У тебя от 3 лет опыта в разработке на React Native Ты хорошо ориентируешься в TypeScript и экосистеме React Понимаешь, как устроены мобильные приложения Пишешь чистый, понятный код и не забываешь про пользователей Внимательный(-на), аккуратный(-на), не боишься сложных задач Готов(-а) выполнить ТЗ Будет плюсом: Опыт написания нативных модулей Опыт разработки игр Что у нас: Международный и мульти-платформенный продукт (1.3 млн MAU, 11 локализаций) Можно и нужно предлагать, пробовать, улучшать — инициативу поддерживаем Прямое общение с c-level и продактами — никакой бюрократии и посредников Поставленные процессы: планирование по спринтам, адекватная загрузка, понятные приоритеты Команда из 40+ русскоговорящих ребят — без микроменеджмента и лишних созвонов Полностью удалённый формат Официальное оформление График: 10:00–19:00 по UTC+3 Какие будут этапы: Тестовое задание от нашего CTO Техническое интервью с СТО Финальная встреча с СЕО",https://geekjob.ru/vacancy/683da8ce8d2007e09f0aa228,2 июня,Миддл,"['от 3 лет опыта в разработке на React Native', 'хорошее ориентирование в TypeScript и экосистеме React', 'понимание устройства мобильных приложений', 'написание чистого, понятного кода', 'внимание и аккуратность', 'готовность выполнить ТЗ', 'опыт написания нативных модулей (будет плюсом)', 'опыт разработки игр (будет плюсом)']","['разработка нового функционала мобильных приложений', 'работа с дизайнерами, продактами и другими разработчиками', 'поддержка и развитие уже написанного кода', 'влияние на продукт, предложение улучшений и видение результата своей работы']",Технический директор (СТО),,
Angular developer,Tile.expert,Мальта,,Удаленная работа,Удаленная работа,80000.0,110000.0,,₽,"['HTML', 'CSS', 'JavaScript', 'TypeScript', 'Git']","Описание вакансии Команда крупного европейского интернет-магазина приглашаем Angular developer'a для работы над внутренним проектом - бизнес мессенджером с системой управления задачами. Обязанности: верстка шаблонов согласно дизайн-макетам разработкой новых компонентов и оптимизацией существующих (на Angular) тесное взаимодействие с backend-разработчиками (websocket/REST) Требования: отличное знание HTML/(S)CSS/JS&TS, Git и NgRx коммерческий опыт разработки на Аngular более 1 года знание особенностей адаптивной верстки под мобильные устройства плюсом будут знания еще одного JS фреймворка Условия: удаленная работа (full-time) возможности для карьерного и финансового роста оплачиваемые корпоративы в Италии за результативность оплачиваемый отпуск",https://geekjob.ru/vacancy/683da59a3e04757c500b8b16,2 июня,Джуниор,"['отличное знание HTML/(S)CSS/JS&TS', 'Git и NgRx', 'коммерческий опыт разработки на Angular более 1 года', 'знание особенностей адаптивной верстки под мобильные устройства']","['верстка шаблонов согласно дизайн-макетам', 'разработка новых компонентов и оптимизация существующих (на Angular)', 'тесное взаимодействие с backend-разработчиками (websocket/REST)']",Технический директор (СТО),,
Senior Smart Contract Engineer,Рекрутер Mайя,,,Удаленная работа,Удаленная работа,,,,,"['EVM', 'Solidity', 'Foundry/Hardhat', 'DeFi primitives']","Описание вакансии Join us in building the future of permissionless shared security for crypto networks. Our protocol lets stakers, networks, and operators collaborate in a fully decentralized, restaking-powered ecosystem — where security is composable, scalable, and efficient. 🔧  What You’ll Work On Core smart contracts, SDKs, and new ecosystem modules Peer reviews + internal audits Flexible, secure, and high-performance code 🧠  What We’re Looking For Deep EVM + Solidity expertise Strong grasp of Ethereum L1/L2, PoS, and staking Familiarity with Foundry/Hardhat, viem, ethers.js, etc. Knowledge of DeFi primitives (DEXs, stablecoins, lending) Bonus: Yul, Huff, Vyper, ZK, OP stack, Rust/Go/C++ 🏝  What We Offer Cutting-edge protocol R&D Fully remote + 4 weeks paid vacation Results-first, people-focused culture Big impact, real ownership",https://geekjob.ru/vacancy/683dc218e0f5f4a09301e5d7,2 июня,Сеньор,"['Deep EVM + Solidity expertise', 'Strong grasp of Ethereum L1/L2, PoS, and staking', 'Familiarity with Foundry/Hardhat, viem, ethers.js, etc.', 'Knowledge of DeFi primitives (DEXs, stablecoins, lending)']","['Core smart contracts, SDKs, and new ecosystem modules', 'Peer reviews + internal audits', 'Flexible, secure, and high-performance code']",Бизнес-аналитик,,
PHP разработчик,Tile.expert,Мальта,,Удаленная работа,Удаленная работа,900.0,1200.0,,$,"['MongoDB', 'Git']","Описание вакансии В крупный мультиязычный интернет-магазин приглашается PHP разработчик для работы над внутренним проектом - бизнес мессенджером с системой управления задачами. Обязанности: разработка новой и доработка существующей логики проекта рефакторинг кода по канону написания проектов на symfony2 с использованием всех его возможностей Требования: коммерческий опыт разработки на Symfony2 от 1 года умение разбираться в legacy code уверенное знание php7, MongoDB, git стремление к техническому росту и самообразованию, инициативность Условия: удаленная работа (fulltime) возможности для карьерного и финансового роста отличный шанс улучшить свой экспириенс бонусы за эффективную работу по выделенному направлению разработки оплачиваемые корпоративы в Италии за результативность оплачиваемый отпуск",https://geekjob.ru/vacancy/683da5ab3e04757c500b8b17,2 июня,Джуниор,"['коммерческий опыт разработки на Symfony2 от 1 года', 'умение разбираться в legacy code', 'уверенное знание php7, MongoDB, git', 'стремление к техническому росту и самообразованию', 'инициативность']","['разработка новой и доработка существующей логики проекта', 'рефакторинг кода по канону написания проектов на symfony2 с использованием всех его возможностей']",Системный аналитик,,
Тильда разработчик / вэб-дизайнер,Beauty Alliance,Москва,Россия,Удаленная работа,Удаленная работа,50000.0,80000.0,,₽,"['Веб-дизайн', 'дизайн сайтов', 'Tilda', 'вёрстка', 'анимация']","Описание вакансии Навыки :  Веб-дизайн ; дизайн сайтов, лендингов (макеты psd, адаптивы) ; знание Tilda и вёрстки кодом сайтов на платформе; Разбираться в структуре и подаче контента; умение создавать эффектный/современный дизайн , работать с анимацией; Баннеры, рекламные креативы, носители к печати ; Требования: уровень не ниже middle/senior ( просьба обратить на это внимание ! )  умение работать по четкому ТЗ + формирование ТЗ из запросов клиента. умение быстро переключаться с проекта на проект; опыт работы дизайнером в агентстве, веб-студии, sмм-агентстве будет преимуществом; ответственность и скорость в работе. Форматы работы :  - удаленная - фулл-тайм ( зависит от скорости работы и качества материала итогового) Зарплатная вилка : 50.000 - 80.000 при фулл-тайм загрузке ( в зависимости от навыков и скорости работы ) Тестовое задание для кандидата на этапе 1го проекта ( если задача выполнена — она и сразу оплачивается и кандидат принимается )  Отношения могут быть оформлены, если у кандидата своё ИП или статус «самозанятый»",https://geekjob.ru/vacancy/683da34acd3e79ebb40de868,2 июня,Миддл • Сеньор,"['умение работать по четкому ТЗ', 'формирование ТЗ из запросов клиента', 'умение быстро переключаться с проекта на проект', 'опыт работы дизайнером в агентстве, веб-студии, sмм-агентстве', 'ответственность и скорость в работе']",,"Программист, разработчик",,
