,Unnamed: 0,vacancy,company,city,country,experience,employment,schedule,salary from,salary to,period of pay,currency,skills,text,url,date,level,responsibilities,requirements,position,education,benefits,industry,contacts,text_vac,vacancy name
0,0,Специалист ТЗИ,НИИП имени В. В. Тихомирова.,"Московская область, Жуковский, улица Гагарина, 3",,Опыт работы от 3 лет,,полная занятость,100000,100000,/месяц,₽,[],"Обязанности: Организация и проведение работ по технической защите информации на объектах информатизации, администратор безопасность АРМ, обновление антивирусной программы и др. Требования: высшее техническое образование, опыт работы в сфере ПД ИТР и ТЗИ не менее 3-х лет, наличие курсов переподготовки по данной специализации. Условия: График работы 5/2; Оформление в соответствии с ТК РФ, оплачиваемые отпуска и больничные; Официальная заработная плата (фиксированный оклад, премии); Работа в офисе на территории предприятия (г. Жуковский); Предоставляются социальные гарантии и выплаты, установленные законодательством Российской Федерации, законами и иными нормативными правовыми актами Московской области и г. о. Жуковский, а также меры социальной поддержки в период трудовой деятельности, установленные в АО «НИИП имени В.В. Тихомирова» (НИИП): - дополнительное профессиональное образование сотрудников при производственной необходимости; - материальная помощь на оплату медицинских услуг и в других случаях; - частичная компенсация санаторно-курортного лечения и отдыха для сотрудников и их детей; - культурно-досуговые, спортивно-массовые и другие мероприятия. На территории НИИП имени В.В. Тихомирова находится здравпункт Жуковской областной клинической больницы, в котором сотрудники получают необходимые медицинские услуги.",https://russia.superjob.ru/vakansii/specialist-tzi-49952777.html,2025-06-10,,,,,высшее образование,,,,"Специалист ТЗИ
Обязанности: Организация и проведение работ по технической защите информации на объектах информатизации, администратор безопасность АРМ, обновление антивирусной программы и др. Требования: высшее техническое образование, опыт работы в сфере ПД ИТР и ТЗИ не менее 3-х лет, наличие курсов переподготовки по данной специализации. Условия: График работы 5/2; Оформление в соответствии с ТК РФ, оплачиваемые отпуска и больничные; Официальная заработная плата (фиксированный оклад, премии); Работа в офисе на территории предприятия (г. Жуковский); Предоставляются социальные гарантии и выплаты, установленные законодательством Российской Федерации, законами и иными нормативными правовыми актами Московской области и г. о. Жуковский, а также меры социальной поддержки в период трудовой деятельности, установленные в АО «НИИП имени В.В. Тихомирова» (НИИП): - дополнительное профессиональное образование сотрудников при производственной необходимости; - материальная помощь на оплату медицинских услуг и в других случаях; - частичная компенсация санаторно-курортного лечения и отдыха для сотрудников и их детей; - культурно-досуговые, спортивно-массовые и другие мероприятия. На территории НИИП имени В.В. Тихомирова находится здравпункт Жуковской областной клинической больницы, в котором сотрудники получают необходимые медицинские услуги.
[]",Специалист по информационной безопасности
1,1,Ведущий программист 1С 8.3,Частный рекрутер Светлана Решетниченко,Владивосток,,Опыт работы от 3 лет,,полная занятость,200000,200000,/месяц,₽,"['1С: Предприятие 8', '1С: Управление Торговлей', '1С: Документооборот', '1С: Комплексная автоматизация', '1С программирование']","Крупная торгово-производственная компания. ОТ КОМПАНИИ: работу в стабильной компании, профессиональное развитие в рамках компании, интересные задачи, финансовые перспективы, дополнительные бонусы, питание (есть собственная столовая). Что входит в обязанности: разработка на платформе 1 С 8.3 в команде разработчиков, доработка конфигурации КА2, обновление и сопровождение типовой конфигурации БУХ 3, консультирование пользователей, сode-review, тестирование, создание технической документации. Что компания ждет от кандидата: высшее профильное образование, опыт работы в аналогичной должности, знание платформы 1 С 8.3 на уровне специалиста; опыт участия в проектах внедрения 1C КА 2.4 / УТ11; уверенные знания типовых конфигураций 1C КА2.4 / УТ11; знание методологии товарооборота, ценообразования, взаиморасчетов и складского учета на адресных складах; знание основ бухгалтерского учета, наличие сертификатов ""Специалист"" по платформе 8.х или «Специалист-Консультант» по УТ11. Оплата: от 200 000 рублей (обсуждается выше уровень оплаты)",https://russia.superjob.ru/vakansii/veduschij-programmist-1s-8-50643259.html,2025-06-10,,,,,высшее образование,,,,"Ведущий программист 1С 8.3
Крупная торгово-производственная компания. ОТ КОМПАНИИ: работу в стабильной компании, профессиональное развитие в рамках компании, интересные задачи, финансовые перспективы, дополнительные бонусы, питание (есть собственная столовая). Что входит в обязанности: разработка на платформе 1 С 8.3 в команде разработчиков, доработка конфигурации КА2, обновление и сопровождение типовой конфигурации БУХ 3, консультирование пользователей, сode-review, тестирование, создание технической документации. Что компания ждет от кандидата: высшее профильное образование, опыт работы в аналогичной должности, знание платформы 1 С 8.3 на уровне специалиста; опыт участия в проектах внедрения 1C КА 2.4 / УТ11; уверенные знания типовых конфигураций 1C КА2.4 / УТ11; знание методологии товарооборота, ценообразования, взаиморасчетов и складского учета на адресных складах; знание основ бухгалтерского учета, наличие сертификатов ""Специалист"" по платформе 8.х или «Специалист-Консультант» по УТ11. Оплата: от 200 000 рублей (обсуждается выше уровень оплаты)
['1С: Предприятие 8', '1С: Управление Торговлей', '1С: Документооборот', '1С: Комплексная автоматизация', '1С программирование']","Программист, разработчик"
2,2,Монтажник РЭА,Центр Новых Технологий,Москва,,Опыт работы от 3 лет,,полная занятость,100000,120000,/месяц,₽,[],"Обязанности: Монтаж сложных электронных узлов, блоков РЭА,
сложных, многослойных плат. Отверточная сборка РЭА. Изготовление кабельных ВЧ сборок. Проверка и
тестирование РЭА, устранение неисправностей. Финальная сборка, упаковка готового
изделия Требования: Гражданство РФ, высшее техническое образование или
  среднее специальное образование, опыт работы в области радиоэлектронной
  аппаратуры (РЭА), телекоммуникаций не менее 3 лет. Условия: Режим работы 5/2, с 8.30 до 17.00 часов, пятница - до
16.30 часов, выходные и праздничные дни по общероссийскому графику, соц. пакет
- в соответствии с действующим трудовым законодательством. Производство находится в 10 минутах пешком                                  от МЦК ""Шелепиха"", по адресу 2-ой Магистральный тупик д.7А, или доехать от м. ""Полежаевская"" на 294 автобусе, до остановки ""Мукомольная фабрика 3"".",https://russia.superjob.ru/vakansii/montazhnik-rea-43117147.html,2025-06-09,,,,,среднее специальное образование,,,,"Монтажник РЭА
Обязанности: Монтаж сложных электронных узлов, блоков РЭА,
сложных, многослойных плат. Отверточная сборка РЭА. Изготовление кабельных ВЧ сборок. Проверка и
тестирование РЭА, устранение неисправностей. Финальная сборка, упаковка готового
изделия Требования: Гражданство РФ, высшее техническое образование или
  среднее специальное образование, опыт работы в области радиоэлектронной
  аппаратуры (РЭА), телекоммуникаций не менее 3 лет. Условия: Режим работы 5/2, с 8.30 до 17.00 часов, пятница - до
16.30 часов, выходные и праздничные дни по общероссийскому графику, соц. пакет
- в соответствии с действующим трудовым законодательством. Производство находится в 10 минутах пешком                                  от МЦК ""Шелепиха"", по адресу 2-ой Магистральный тупик д.7А, или доехать от м. ""Полежаевская"" на 294 автобусе, до остановки ""Мукомольная фабрика 3"".
[]",Другая IT вакансия
3,3,Инженер-программист встраиваемых систем,САЭ,Санкт-Петербург,,Опыт работы от 3 лет,,полная занятость,150000,150000,/месяц,₽,[],"ООО ""Системы Автономной Энергии"" - разработчик и производитель тяговых литий-ионных аккумуляторных систем для электротранспорта и морской техники с собственным инженерно-производственным центром в Санкт-Петербурге и серийным производством в городе Пушкине, входит в группу компаний ""ИТЭЛМА"". В связи с расширением команды ищем Embedded разработчика. Основные задачи: разработка и поддержка кода для микроконтроллеров SPC560, STM32 на C в системах реального времени; интеграция протоколов J1939 и UDS в продукты компании; сопровождение в производстве, настройка и отладка опытных образцов; участие в испытаниях опытных образцов. Вашими преимуществами будут: хорошее знание C; понимание принципов сборки приложений для микроконтроллеров; знание схемотехники; умение паять и и отлаживать электронные блоки управления. Мы предлагаем: финансовая стабильность: оформление в соответствии с ТК РФ; забота о сотрудниках и их здоровье: ДМС после испытательного срока; развитие и рост: образовательные программы за счёт компании, возможность участия в научно-технических конференциях и форумах; график работы: 5/2 c 9:00 до 18:00; удобное расположение: Липовая аллея, д. 9 (БЦ ""Приморский""); комфортная среда: сильная команда, готовая поддержать ваши идеи и инициативы; возможность влиять на процесс и результат; корпоративные мероприятия и праздники для сотрудников. Создавай будущее вместе с нами!",https://russia.superjob.ru/vakansii/inzhener-programmist-vstraivaemyh-sistem-50683792.html,2025-06-10,,,,,высшее образование,,,,"Инженер-программист встраиваемых систем
ООО ""Системы Автономной Энергии"" - разработчик и производитель тяговых литий-ионных аккумуляторных систем для электротранспорта и морской техники с собственным инженерно-производственным центром в Санкт-Петербурге и серийным производством в городе Пушкине, входит в группу компаний ""ИТЭЛМА"". В связи с расширением команды ищем Embedded разработчика. Основные задачи: разработка и поддержка кода для микроконтроллеров SPC560, STM32 на C в системах реального времени; интеграция протоколов J1939 и UDS в продукты компании; сопровождение в производстве, настройка и отладка опытных образцов; участие в испытаниях опытных образцов. Вашими преимуществами будут: хорошее знание C; понимание принципов сборки приложений для микроконтроллеров; знание схемотехники; умение паять и и отлаживать электронные блоки управления. Мы предлагаем: финансовая стабильность: оформление в соответствии с ТК РФ; забота о сотрудниках и их здоровье: ДМС после испытательного срока; развитие и рост: образовательные программы за счёт компании, возможность участия в научно-технических конференциях и форумах; график работы: 5/2 c 9:00 до 18:00; удобное расположение: Липовая аллея, д. 9 (БЦ ""Приморский""); комфортная среда: сильная команда, готовая поддержать ваши идеи и инициативы; возможность влиять на процесс и результат; корпоративные мероприятия и праздники для сотрудников. Создавай будущее вместе с нами!
[]","Программист, разработчик"
4,4,Ведущий инженер по телекоммуникациям,Россети Центр и Приволжье,Белгород,,Опыт работы от 1 года,,полная занятость,56000,60000,/месяц,₽,[],"Обязанности: Обслуживание, управление, администрирование оборудования сетей передачи данных (далее СПД )компании; Подготовка и своевременная актуализация технологических схем, баз данных учета работы оборудования СПД; Взаимодействие с операторами связи по вопросам работоспособности каналов связи; Участие во внедрение новых перспективных технологий и разработке планов в области телекоммуникаций; Подготовка справочных и методических документов по эксплуатации и техническому обслуживанию оборудования СПД; Подготовка отчётных и аналитических документов по работе СПД филиала; Требования: Высшее образование по направлению ""сети связи и системы коммутации"", ""автоматизация технологических процессов и производств"", ""телекоммуникации"" Знание конструктивных особенностей, назначения и режимов работы оборудования телекоммуникаций, правил его технической эксплуатации; Навык управления системами связи, мониторинга (Zabbix, prtg и др.); Анализ работы систем cвязи и способов оперативного устранения сбоев в работе оборудования СПД; Понимание структуры модели ISO/OSI; Знание принципов построения сетей (стек протоколов ТСР/IP) и принципов работы протоколов второго уровня и третьего уровня модели OSI; Опыт конфигурирования оборудования СПД (маршрутизаторы, коммутаторы), опыт работы с командной строкой CLI; Условия: Оформление согласно ТК РФ, социальные льготы и гарантии; Пятидневная рабочая неделя с двумя выходными (суббота и воскресенье); Полный социальный пакет Ежегодная индексация заработной платы Корпоративная связь Льготы по коллективному договору компании Медицинская страховка от компании Условия для повышения квалификации и профессионального роста Доплата за выслугу лет после года работы в компании Материальная помощь к отпуску Начинающим специалистам подъемные - 50000р. Карьерный рост Частичная компенсация аренды жилья иногороднему кандидату",https://russia.superjob.ru/vakansii/veduschij-inzhener-po-telekommunikaciyam-50105372.html,2025-06-10,,,,,высшее образование,,,,"Ведущий инженер по телекоммуникациям
Обязанности: Обслуживание, управление, администрирование оборудования сетей передачи данных (далее СПД )компании; Подготовка и своевременная актуализация технологических схем, баз данных учета работы оборудования СПД; Взаимодействие с операторами связи по вопросам работоспособности каналов связи; Участие во внедрение новых перспективных технологий и разработке планов в области телекоммуникаций; Подготовка справочных и методических документов по эксплуатации и техническому обслуживанию оборудования СПД; Подготовка отчётных и аналитических документов по работе СПД филиала; Требования: Высшее образование по направлению ""сети связи и системы коммутации"", ""автоматизация технологических процессов и производств"", ""телекоммуникации"" Знание конструктивных особенностей, назначения и режимов работы оборудования телекоммуникаций, правил его технической эксплуатации; Навык управления системами связи, мониторинга (Zabbix, prtg и др.); Анализ работы систем cвязи и способов оперативного устранения сбоев в работе оборудования СПД; Понимание структуры модели ISO/OSI; Знание принципов построения сетей (стек протоколов ТСР/IP) и принципов работы протоколов второго уровня и третьего уровня модели OSI; Опыт конфигурирования оборудования СПД (маршрутизаторы, коммутаторы), опыт работы с командной строкой CLI; Условия: Оформление согласно ТК РФ, социальные льготы и гарантии; Пятидневная рабочая неделя с двумя выходными (суббота и воскресенье); Полный социальный пакет Ежегодная индексация заработной платы Корпоративная связь Льготы по коллективному договору компании Медицинская страховка от компании Условия для повышения квалификации и профессионального роста Доплата за выслугу лет после года работы в компании Материальная помощь к отпуску Начинающим специалистам подъемные - 50000р. Карьерный рост Частичная компенсация аренды жилья иногороднему кандидату
[]",Сетевой инженер
5,5,Специалист по информационной безопасности / Системный администратор,СпецЦентр,"Москва, Большая Ширяевская улица, 11",,Опыт работы от 1 года,,полная занятость,140000,140000,/месяц,₽,[],"Обязанности: Установка и настройка средств защиты информации (АПКШ Континент, Secret Net Studio и т.д.); Подготовка (оформление) документации по результатам установки и настройки средств защиты информации; Базовый уровень настройки сетевого активного оборудования. Требования: Желание развиваться в сфере ИТ и защиты информации; Знание компьютера (знание ""железа"", основ архитектуры современных операционных систем, баз данных); Операционные системы Windows, Linux (желательно) на уровне продвинутого пользователя; Знание принципов работы сетевых технологий Маршрутизация; Базовый траблшутинг; Протоколы TCP/UDP; Базовые знания прикладных протоколов (например, HTTP или IMAP/SMTP/POP3), снифферы, AD, DNS, DHCP, GPO; Знание нормативных и методических документов в области защиты информации, не составляющей государственную тайну (сферы ГИС, ИСПДн, КИИ) (желательно) Приветствуется опыт работы в сферах информационных технологий, администрирование сетей Континент и ViPNet, понимание принципа работы и способность установить и настроить СЗИ от НСД (Dallas Lock, Secret Net Studio) Готовность к командировкам. Условия: График 5/2 с 9-00 до 18-00, в пятницу до 16-45, Возможность повышения квалификации за счет компании, Полная занятость , работа в офисе! Отпуск, б/л оплачиваются, Оформление по ТК с первого рабочего дня, З/п белая, выплаты 2 раза в месяц. Испытательный срок 3 мес.",https://russia.superjob.ru/vakansii/specialist-po-informacionnoj-bezopasnosti-50681279.html,2025-06-09,,,,,,,,,"Специалист по информационной безопасности / Системный администратор
Обязанности: Установка и настройка средств защиты информации (АПКШ Континент, Secret Net Studio и т.д.); Подготовка (оформление) документации по результатам установки и настройки средств защиты информации; Базовый уровень настройки сетевого активного оборудования. Требования: Желание развиваться в сфере ИТ и защиты информации; Знание компьютера (знание ""железа"", основ архитектуры современных операционных систем, баз данных); Операционные системы Windows, Linux (желательно) на уровне продвинутого пользователя; Знание принципов работы сетевых технологий Маршрутизация; Базовый траблшутинг; Протоколы TCP/UDP; Базовые знания прикладных протоколов (например, HTTP или IMAP/SMTP/POP3), снифферы, AD, DNS, DHCP, GPO; Знание нормативных и методических документов в области защиты информации, не составляющей государственную тайну (сферы ГИС, ИСПДн, КИИ) (желательно) Приветствуется опыт работы в сферах информационных технологий, администрирование сетей Континент и ViPNet, понимание принципа работы и способность установить и настроить СЗИ от НСД (Dallas Lock, Secret Net Studio) Готовность к командировкам. Условия: График 5/2 с 9-00 до 18-00, в пятницу до 16-45, Возможность повышения квалификации за счет компании, Полная занятость , работа в офисе! Отпуск, б/л оплачиваются, Оформление по ТК с первого рабочего дня, З/п белая, выплаты 2 раза в месяц. Испытательный срок 3 мес.
[]",Специалист по информационной безопасности
6,6,Системный администратор,"Санкт-Петербургский филиал ФГАУ ""НМИЦ ""МНТК ""Микрохирургия глаза"" им. акад. С. Н. Федорова"" Минздрава России",Санкт-Петербург,,Опыт работы от 3 лет,,полная занятость,156135,156135,/месяц,₽,[],"Обязанности: Обслуживание (администрирование) преимущественно серверных систем. Диагностика неисправностей ИС. Регламентные работы (обновление ПО, контроль состояния систем). Устанавливает права доступа и контролирует использование сетевых ресурсов. Обеспечивает своевременное копирование, архивирование и резервирование данных. Принимает меры по восстановлению работоспособности локальной сети при сбоях или выходе из строя сетевого оборудования. Выявляет ошибки пользователей и программного обеспечения и принимает меры по их исправлению. Проводит мониторинг сети, разрабатывает предложения по развитию инфраструктуры сети. Обеспечивает сетевую безопасность (защиту от несанкционированного доступа к информации, просмотра или изменения системных файлов и данных), безопасность межсетевого взаимодействия. Осуществляет антивирусную защиту локальной вычислительной сети, серверов и рабочих станций. Требования: Администрирование серверов и поддержка Microsoft Windows Server 2016,  DHCP, Active Directory, GPO; ·         Администрирование рабочих машин Windows, Linux; ·         Администрирование сетевого оборудования, локальных сетей; ·         Системы мониторинга оборудования и ИТ сервисов; ·         Администрирование АТС; ·         Администрирование системы видеонаблюдения; ·         Контроль резервного копирования информационных систем компании; ·         Защита от несанкционированного доступа к информации; ·         Осуществление антивирусной защиты ЛВС, серверов, рабочих станций; ·         Настройка и обслуживание оргтехники; ·         Поддержка пользователей; ·         Работа в команде; ·         Стремление к развитию, любознательность. Условия: Клиника располагается в 7 минутах ходьбы от станции метро ""Дунайская"". График работы пятидневная рабочая неделя с двумя выходными (суббота, воскресенье) с 09.00 час. до 17.30 час., обеденный перерыв 30 минут. Размер заработной платы зависит от выплат компенсационного и стимулирующего характера. Заработная платы выплачивается без задержек два раза в месяц. При сложных жизненных ситуациях сотрудникам оказывают материальную помощь. В целях проверки работника на соответствие поручаемой работе может быть установлен испытательный срок до трех месяцев. Трудоустройство по Трудовому кодексу РФ (официальное оформление по трудовой книжке). Работодатель за счет собственных средств частично компенсирует расходы на питание сотрудников в собственном кафе. Предусмотрен полный социальный пакет (обязательное социальное страхование и оплата листков нетрудоспособности). Предоставляется ежегодный основной оплачиваемый отпуск 28 календарных дней. Работники имеют право на компенсацию бюджетом Санкт-Петербурга части стоимости путёвок детям сотрудников в детские оздоровительные лагеря и частичную оплату стоимости таких путевок работодателем. Осуществляется повышение квалификации работников за счёт средств работодателя. Льготное медицинское обслуживание самого работника и членов его семьи. Проведение предварительного и ежегодных периодических медицинских осмотров (обследований) и прививок производится за счёт средств работодателя. До приема на работу необходимо прохождение обязательного предварительного медицинского обследования.",https://russia.superjob.ru/vakansii/sistemnyj-administrator-43917624.html,2025-06-09,,,,,высшее образование,,,,"Системный администратор
Обязанности: Обслуживание (администрирование) преимущественно серверных систем. Диагностика неисправностей ИС. Регламентные работы (обновление ПО, контроль состояния систем). Устанавливает права доступа и контролирует использование сетевых ресурсов. Обеспечивает своевременное копирование, архивирование и резервирование данных. Принимает меры по восстановлению работоспособности локальной сети при сбоях или выходе из строя сетевого оборудования. Выявляет ошибки пользователей и программного обеспечения и принимает меры по их исправлению. Проводит мониторинг сети, разрабатывает предложения по развитию инфраструктуры сети. Обеспечивает сетевую безопасность (защиту от несанкционированного доступа к информации, просмотра или изменения системных файлов и данных), безопасность межсетевого взаимодействия. Осуществляет антивирусную защиту локальной вычислительной сети, серверов и рабочих станций. Требования: Администрирование серверов и поддержка Microsoft Windows Server 2016,  DHCP, Active Directory, GPO; ·         Администрирование рабочих машин Windows, Linux; ·         Администрирование сетевого оборудования, локальных сетей; ·         Системы мониторинга оборудования и ИТ сервисов; ·         Администрирование АТС; ·         Администрирование системы видеонаблюдения; ·         Контроль резервного копирования информационных систем компании; ·         Защита от несанкционированного доступа к информации; ·         Осуществление антивирусной защиты ЛВС, серверов, рабочих станций; ·         Настройка и обслуживание оргтехники; ·         Поддержка пользователей; ·         Работа в команде; ·         Стремление к развитию, любознательность. Условия: Клиника располагается в 7 минутах ходьбы от станции метро ""Дунайская"". График работы пятидневная рабочая неделя с двумя выходными (суббота, воскресенье) с 09.00 час. до 17.30 час., обеденный перерыв 30 минут. Размер заработной платы зависит от выплат компенсационного и стимулирующего характера. Заработная платы выплачивается без задержек два раза в месяц. При сложных жизненных ситуациях сотрудникам оказывают материальную помощь. В целях проверки работника на соответствие поручаемой работе может быть установлен испытательный срок до трех месяцев. Трудоустройство по Трудовому кодексу РФ (официальное оформление по трудовой книжке). Работодатель за счет собственных средств частично компенсирует расходы на питание сотрудников в собственном кафе. Предусмотрен полный социальный пакет (обязательное социальное страхование и оплата листков нетрудоспособности). Предоставляется ежегодный основной оплачиваемый отпуск 28 календарных дней. Работники имеют право на компенсацию бюджетом Санкт-Петербурга части стоимости путёвок детям сотрудников в детские оздоровительные лагеря и частичную оплату стоимости таких путевок работодателем. Осуществляется повышение квалификации работников за счёт средств работодателя. Льготное медицинское обслуживание самого работника и членов его семьи. Проведение предварительного и ежегодных периодических медицинских осмотров (обследований) и прививок производится за счёт средств работодателя. До приема на работу необходимо прохождение обязательного предварительного медицинского обследования.
[]",Системный администратор
7,7,Помощник системного администратора / Специалист технической поддержки,Московский завод ФИЗПРИБОР,Подольск,,Опыт работы не требуется,,полная занятость,50000,50000,/месяц,₽,"['Настройка ПО', 'Linux', 'Windows', 'Техническая поддержка', 'Поддержка пользователей', 'Windows Server']","Обязанности: Настройка и администрирование рабочих станций; Участие в администрировании серверов с Windows Server; Устранение сбоев в работе оборудования и программного обеспечения; Обслуживание и настройка оргтехники, замена расходных материалов; Ведение документации, составление простых и понятных инструкций с картинками и стрелочками; Подготовка и выдача оборудования пользователям; Установка и базовая настройка коммутационного оборудования. Требования: средне-специальное (профильное) образование; Знание основ сетей Ethernet; Базовое понимание AD, DHCP, DNS; Знание операционных систем семейства Windows на уровне администратора; Способность корректно и быстро оказывать помощь пользователям в решении возникающих проблем; Понимание модели OSI; Базовые навыки по работе с Active Directory. Готовы рассмотреть кандидатов без опыта работы, с высшим образованием и/или дополнительным образованием по данной специализации. Условия: Возможность карьерного роста как системного администратора Windows/Linux, так и в сторону специалиста по информационной безопасности. Профильное обучение за счёт компании по результатам работы. График работы: пн.-пт., с 8-45 до 17-30. Оформление по ТК.",https://russia.superjob.ru/vakansii/pomoschnik-sistemnogo-administratora-50183293.html,2025-06-10,,,,,среднее специальное образование,,,,"Помощник системного администратора / Специалист технической поддержки
Обязанности: Настройка и администрирование рабочих станций; Участие в администрировании серверов с Windows Server; Устранение сбоев в работе оборудования и программного обеспечения; Обслуживание и настройка оргтехники, замена расходных материалов; Ведение документации, составление простых и понятных инструкций с картинками и стрелочками; Подготовка и выдача оборудования пользователям; Установка и базовая настройка коммутационного оборудования. Требования: средне-специальное (профильное) образование; Знание основ сетей Ethernet; Базовое понимание AD, DHCP, DNS; Знание операционных систем семейства Windows на уровне администратора; Способность корректно и быстро оказывать помощь пользователям в решении возникающих проблем; Понимание модели OSI; Базовые навыки по работе с Active Directory. Готовы рассмотреть кандидатов без опыта работы, с высшим образованием и/или дополнительным образованием по данной специализации. Условия: Возможность карьерного роста как системного администратора Windows/Linux, так и в сторону специалиста по информационной безопасности. Профильное обучение за счёт компании по результатам работы. График работы: пн.-пт., с 8-45 до 17-30. Оформление по ТК.
['Настройка ПО', 'Linux', 'Windows', 'Техническая поддержка', 'Поддержка пользователей', 'Windows Server']",Системный администратор
